,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,,
,Rickettsia massiliae str. AZT80,0,0,NC_016931,YP_005301740.1,TC-IEBH,TC-IEBH,7.9,14.8,1,35,0,0,0,
,Staphylococcus aureus subsp. aureus MSHR1132,0,0,NC_016941,YP_005326216.1,TC-phiC2,TC-phiC2,6,14.7,54,145,0,1,1,
,Staphylococcus aureus subsp. aureus MSHR1132,0,0,NC_016941,YP_005326306.1,TC-ListeriaB025,TC-ListeriaB025,8.90E-32,118.1,1,134,1,0,1,
,Staphylococcus aureus subsp. aureus MSHR1132,0,0,NC_016941,YP_005326306.1,TC-HK97,TC-HK97,0.00047,29.3,9,131,0,0,0,
,Mycobacterium intracellulare MOTT-02,Homo sapiens,0,NC_016947,YP_005343155.1,TC-Che12,TC-Che12,7.7,15.2,23,111,0,1,1,
,Enterococcus faecium Aus0004,Homo sapiens,0,NC_017022,YP_005354039.1,TC-BCereusAH820,TC-BCereusAH820,0,54,3,134,1,0,1,
,Enterococcus faecium Aus0004,Homo sapiens,0,NC_017022,YP_005354039.1,TC-BCereusAH820,TC-BCereusAH820,0,54,3,134,0,1,1,
,Enterococcus faecium Aus0004,Homo sapiens,0,NC_017022,YP_005354625.1,TC-BCereusAH820,TC-BCereusAH820,0,54,3,134,1,0,1,
,Enterococcus faecium Aus0004,Homo sapiens,0,NC_017022,YP_005354625.1,TC-BCereusAH820,TC-BCereusAH820,0,54,3,134,0,0,0,
,Enterococcus faecium Aus0004,Homo sapiens,0,NC_017022,YP_005354813.1,TC-HK97,TC-HK97,0,54.4,10,130,0,1,1,
,Enterococcus faecium Aus0004,Homo sapiens,0,NC_017022,YP_005355574.1,TC-BCereusAH820,TC-BCereusAH820,0,54,3,134,1,0,1,
,Enterococcus faecium Aus0004,Homo sapiens,0,NC_017022,YP_005355574.1,TC-BCereusAH820,TC-BCereusAH820,0,54,3,134,0,1,1,
,Flavobacterium indicum GPTSA100-9,0,0,NC_017025,YP_005357534.1,TC-JCL103,TC-JCL103,1.6,17.2,46,145,1,0,1,
,Flavobacterium indicum GPTSA100-9,0,0,NC_017025,YP_005357534.1,TC-JCL103,TC-JCL103,1.6,17.2,189,312,0,0,0,
,Mycobacterium tuberculosis RGTB327,0,0,NC_017026,YP_005361929.1,TC-HK97,TC-HK97,7.2,15.8,1,140,0,1,1,
,Frateuria aurantia DSM 6220,Lilium auratum,0,NC_017033,YP_005377597.1,TC-HK97,TC-HK97,0.0039,26.3,93,180,1,0,1,
,Frateuria aurantia DSM 6220,Lilium auratum,0,NC_017033,YP_005377597.1,TC-HK97,TC-HK97,0.0039,26.3,1,80,0,0,0,
,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,porcine,0,NC_017046,YP_005397375.1,TC-Sfv,TC-Sfv,0,241.6,6,170,0,0,0,
,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,porcine,0,NC_017046,YP_005398080.1,TC-Mu,TC-Mu,1.20E-30,114.7,2,144,0,0,0,
,Rahnella aquatilis HX2,0,0,NC_017047,YP_005401247.1,TC-Mu,TC-Mu,1.30E-35,130.7,2,147,0,0,0,
,Rahnella aquatilis HX2,0,0,NC_017047,YP_005401570.1,TC-Lam,TC-Lam,0.62,18,1,138,0,0,0,
,Rahnella aquatilis HX2,0,0,NC_017047,YP_005403499.1,TC-Mu,TC-Mu,6.50E-35,128.5,2,148,0,0,0,
,Streptococcus pyogenes MGAS1882,Homo sapiens,0,NC_017053,YP_005411862.1,TC-HK97,TC-HK97,0.00000054,38.7,6,113,0,1,1,
,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417642.1,TC-T1,TC-T1,0.000095,30.4,132,185,1,1,1,
,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417642.1,TC-T1,TC-T1,0.000095,30.4,95,141,1,1,1,
,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417642.1,TC-T1,TC-T1,0.000095,30.4,132,185,1,0,1,
,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417642.1,TC-T1,TC-T1,0.000095,30.4,95,141,0,0,0,
,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417944.1,TC-HK97,TC-HK97,0,53.3,44,158,0,0,0,
,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418238.1,TC-Mu,TC-Mu,0.0000000016,46.1,11,156,0,0,0,
,Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2,0,0,NC_017061,YP_005421066.1,TC-HK97,TC-HK97,1,18.6,1,122,0,0,0,
,Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2,0,0,NC_017061,YP_005421484.1,TC-HK97,TC-HK97,0.00000024,39.9,11,120,0,0,0,
,Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2,0,0,NC_017061,YP_005421954.1,TC-HK97,TC-HK97,0.00000023,39.9,11,120,0,0,0,
,Selenomonas ruminantium subsp. lactilytica TAM6421,0,0,NC_017068,YP_005432863.1,TC-HK97,TC-HK97,0.00000017,40.4,22,138,0,0,0,
,Caldilinea aerophila DSM 14535 = NBRC 104270,0,0,NC_017079,YP_005442368.1,TC-Mu,TC-Mu,2.4,16.4,136,272,0,0,0,
,Bradyrhizobium sp. S23321,0,0,NC_017082,YP_005450119.1,TC-HK97,TC-HK97,0.000013,34.3,5,120,0,1,1,
,Bradyrhizobium sp. S23321,0,0,NC_017082,YP_005451144.1,TC-T1,TC-T1,0.025,22.6,6,52,1,1,1,
,Bradyrhizobium sp. S23321,0,0,NC_017082,YP_005451144.1,TC-T1,TC-T1,0.025,22.6,49,103,1,1,1,
,Bradyrhizobium sp. S23321,0,0,NC_017082,YP_005451144.1,TC-T1,TC-T1,0.025,22.6,6,52,1,0,1,
,Bradyrhizobium sp. S23321,0,0,NC_017082,YP_005451144.1,TC-T1,TC-T1,0.025,22.6,49,103,0,1,1,
,Bradyrhizobium sp. S23321,0,0,NC_017082,YP_005451407.1,TC-Adjutor,TC-Adjutor,0.75,18,7,47,1,0,1,
,Bradyrhizobium sp. S23321,0,0,NC_017082,YP_005451407.1,TC-Adjutor,TC-Adjutor,0.75,18,208,265,0,1,1,
,Shigella sonnei 53G,0,0,NC_016822,YP_005456197.1,TC-Mu,TC-Mu,1.60E-18,75.3,112,207,1,0,1,
,Shigella sonnei 53G,0,0,NC_016822,YP_005456197.1,TC-Mu,TC-Mu,1.60E-18,75.3,3,94,0,0,0,
,Shigella sonnei 53G,0,0,NC_016822,YP_005456787.1,TC-Lam,TC-Lam,0.85,17.5,1,190,0,1,1,
,Shigella sonnei 53G,0,0,NC_016822,YP_005457346.1,TC-Lam,TC-Lam,0.6,18,1,139,1,0,1,
,Shigella sonnei 53G,0,0,NC_016822,YP_005457346.1,TC-Lam,TC-Lam,0.6,18,84,190,0,0,0,
,Shigella sonnei 53G,0,0,NC_016822,YP_005457610.1,TC-Mu,TC-Mu,8.00E-31,115.2,10,151,0,0,0,
,Shigella sonnei 53G,0,0,NC_016822,YP_005459205.1,TC-Mu,TC-Mu,1.00E-31,118.1,2,149,0,1,1,
,Actinoplanes missouriensis 431,0,0,NC_017093,YP_005460273.1,TC-BCereusAH820,TC-BCereusAH820,6.3,14.9,5,73,1,0,1,
,Actinoplanes missouriensis 431,0,0,NC_017093,YP_005460273.1,TC-BCereusAH820,TC-BCereusAH820,6.3,14.9,5,73,0,0,0,
,Actinoplanes missouriensis 431,0,0,NC_017093,YP_005461816.1,TC-Adjutor,TC-Adjutor,0,62,69,129,0,0,0,
,Actinoplanes missouriensis 431,0,0,NC_017093,YP_005464322.1,TC-Sfv,TC-Sfv,2.8,16.3,36,106,0,0,0,
,Leptospirillum ferrooxidans C2-3,0,0,NC_017094,YP_005468030.1,TC-TPSY,TC-TPSY,5.8,14.8,26,90,0,0,0,
,Spirochaeta africana DSM 8902,0,0,NC_017098,YP_005475339.1,TC-HK97,TC-HK97,3.3,16.9,9,152,0,1,1,
,Acetobacter pasteurianus IFO 3283-03,0,0,NC_017100,YP_005478575.1,TC-T1,TC-T1,0.006,24.6,82,116,1,1,1,
,Acetobacter pasteurianus IFO 3283-03,0,0,NC_017100,YP_005478575.1,TC-T1,TC-T1,0.006,24.6,116,174,1,1,1,
,Acetobacter pasteurianus IFO 3283-03,0,0,NC_017100,YP_005478575.1,TC-T1,TC-T1,0.006,24.6,82,116,1,0,1,
,Acetobacter pasteurianus IFO 3283-03,0,0,NC_017100,YP_005478575.1,TC-T1,TC-T1,0.006,24.6,116,174,0,1,1,
,Acetobacter pasteurianus IFO 3283-03,0,0,NC_017100,YP_005478809.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,57,126,1,0,1,
,Acetobacter pasteurianus IFO 3283-03,0,0,NC_017100,YP_005478809.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,161,216,0,1,1,
,Acetobacter pasteurianus IFO 3283-12,0,0,NC_017108,YP_005481739.1,TC-T1,TC-T1,0.006,24.6,82,116,1,1,1,
,Acetobacter pasteurianus IFO 3283-12,0,0,NC_017108,YP_005481739.1,TC-T1,TC-T1,0.006,24.6,116,174,1,1,1,
,Acetobacter pasteurianus IFO 3283-12,0,0,NC_017108,YP_005481739.1,TC-T1,TC-T1,0.006,24.6,82,116,1,0,1,
,Acetobacter pasteurianus IFO 3283-12,0,0,NC_017108,YP_005481739.1,TC-T1,TC-T1,0.006,24.6,116,174,0,1,1,
,Acetobacter pasteurianus IFO 3283-12,0,0,NC_017108,YP_005481973.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,57,126,1,0,1,
,Acetobacter pasteurianus IFO 3283-12,0,0,NC_017108,YP_005481973.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,161,216,0,1,1,
,Acetobacter pasteurianus IFO 3283-32,0,0,NC_017111,YP_005484429.1,TC-T1,TC-T1,0.006,24.6,82,116,1,1,1,
,Acetobacter pasteurianus IFO 3283-32,0,0,NC_017111,YP_005484429.1,TC-T1,TC-T1,0.006,24.6,116,174,1,1,1,
,Acetobacter pasteurianus IFO 3283-32,0,0,NC_017111,YP_005484429.1,TC-T1,TC-T1,0.006,24.6,82,116,1,0,1,
,Acetobacter pasteurianus IFO 3283-32,0,0,NC_017111,YP_005484429.1,TC-T1,TC-T1,0.006,24.6,116,174,0,1,1,
,Acetobacter pasteurianus IFO 3283-32,0,0,NC_017111,YP_005484663.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,57,126,1,0,1,
,Acetobacter pasteurianus IFO 3283-32,0,0,NC_017111,YP_005484663.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,161,216,0,1,1,
,Acetobacter pasteurianus IFO 3283-07,0,0,NC_017121,YP_005487713.1,TC-T1,TC-T1,0.006,24.6,82,116,1,1,1,
,Acetobacter pasteurianus IFO 3283-07,0,0,NC_017121,YP_005487713.1,TC-T1,TC-T1,0.006,24.6,116,174,1,1,1,
,Acetobacter pasteurianus IFO 3283-07,0,0,NC_017121,YP_005487713.1,TC-T1,TC-T1,0.006,24.6,82,116,1,0,1,
,Acetobacter pasteurianus IFO 3283-07,0,0,NC_017121,YP_005487713.1,TC-T1,TC-T1,0.006,24.6,116,174,0,1,1,
,Acetobacter pasteurianus IFO 3283-07,0,0,NC_017121,YP_005487947.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,57,126,1,0,1,
,Acetobacter pasteurianus IFO 3283-07,0,0,NC_017121,YP_005487947.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,161,216,0,1,1,
,Acetobacter pasteurianus IFO 3283-22,0,0,NC_017125,YP_005490521.1,TC-T1,TC-T1,0.006,24.6,82,116,1,1,1,
,Acetobacter pasteurianus IFO 3283-22,0,0,NC_017125,YP_005490521.1,TC-T1,TC-T1,0.006,24.6,116,174,1,1,1,
,Acetobacter pasteurianus IFO 3283-22,0,0,NC_017125,YP_005490521.1,TC-T1,TC-T1,0.006,24.6,82,116,1,0,1,
,Acetobacter pasteurianus IFO 3283-22,0,0,NC_017125,YP_005490521.1,TC-T1,TC-T1,0.006,24.6,116,174,0,1,1,
,Acetobacter pasteurianus IFO 3283-22,0,0,NC_017125,YP_005490755.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,57,126,1,0,1,
,Acetobacter pasteurianus IFO 3283-22,0,0,NC_017125,YP_005490755.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,161,216,0,1,1,
,Acetobacter pasteurianus IFO 3283-26,0,0,NC_017146,YP_005499623.1,TC-T1,TC-T1,0.006,24.6,82,116,1,1,1,
,Acetobacter pasteurianus IFO 3283-26,0,0,NC_017146,YP_005499623.1,TC-T1,TC-T1,0.006,24.6,116,174,1,1,1,
,Acetobacter pasteurianus IFO 3283-26,0,0,NC_017146,YP_005499623.1,TC-T1,TC-T1,0.006,24.6,82,116,1,0,1,
,Acetobacter pasteurianus IFO 3283-26,0,0,NC_017146,YP_005499623.1,TC-T1,TC-T1,0.006,24.6,116,174,0,1,1,
,Acetobacter pasteurianus IFO 3283-26,0,0,NC_017146,YP_005499857.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,57,126,1,0,1,
,Acetobacter pasteurianus IFO 3283-26,0,0,NC_017146,YP_005499857.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,161,216,0,1,1,
,Acetobacter pasteurianus IFO 3283-01-42C,0,0,NC_017150,YP_005502420.1,TC-T1,TC-T1,0.006,24.6,82,116,1,1,1,
,Acetobacter pasteurianus IFO 3283-01-42C,0,0,NC_017150,YP_005502420.1,TC-T1,TC-T1,0.006,24.6,116,174,1,1,1,
,Acetobacter pasteurianus IFO 3283-01-42C,0,0,NC_017150,YP_005502420.1,TC-T1,TC-T1,0.006,24.6,82,116,1,0,1,
,Acetobacter pasteurianus IFO 3283-01-42C,0,0,NC_017150,YP_005502420.1,TC-T1,TC-T1,0.006,24.6,116,174,0,1,1,
,Acetobacter pasteurianus IFO 3283-01-42C,0,0,NC_017150,YP_005502656.1,TC-ShewanellaB,TC-ShewanellaB,2.8,16.2,57,126,1,0,1,
,Acetobacter pasteurianus IFO 3283-01-42C,0,0,NC_017150,YP_005502656.1,TC-ShewanellaB,TC-ShewanellaB,2.80E+00,16.2,161,216,0,1,1,
,Yersinia pestis D106004,0,0,NC_017154,YP_005503857.1,TC-HK97,TC-HK97,4.4,16,2,77,1,0,1,
,Yersinia pestis D106004,0,0,NC_017154,YP_005503857.1,TC-HK97,TC-HK97,4.4,16,137,276,0,0,0,
,Yersinia pestis D106004,0,0,NC_017154,YP_005504199.1,TC-Mu,TC-Mu,0.52,18.5,32,111,0,1,1,
,Yersinia pestis D106004,0,0,NC_017154,YP_005505074.1,U_TC_Fam5,U_TC_Fam5,0,437,1,194,1,1,1,
,Yersinia pestis D106004,0,0,NC_017154,YP_005505074.1,TC-T1,TC-T1,1.60E-34,126.9,1,194,1,1,1,
,Yersinia pestis D106004,0,0,NC_017154,YP_005505074.1,TC-T1,TC-T1,1.60E-34,126.9,1,194,1,1,1,
,Yersinia pestis D106004,0,0,NC_017154,YP_005505074.1,TC-Phi297,TC-Phi297,0,204.1,4,184,1,0,1,
,Yersinia pestis D106004,0,0,NC_017154,YP_005505074.1,TC-HK97,TC-HK97,1.9,17.2,64,187,0,1,1,
,Yersinia pestis D182038,0,0,NC_017160,YP_005507728.1,TC-HK97,TC-HK97,4.4,16,2,77,1,0,1,
,Yersinia pestis D182038,0,0,NC_017160,YP_005507728.1,TC-HK97,TC-HK97,4.4,16,137,276,0,0,0,
,Yersinia pestis D182038,0,0,NC_017160,YP_005508218.1,TC-Mu,TC-Mu,0.52,18.5,32,111,0,1,1,
,Yersinia pestis D182038,0,0,NC_017160,YP_005508763.1,U_TC_Fam5,U_TC_Fam5,0,437,1,194,1,1,1,
,Yersinia pestis D182038,0,0,NC_017160,YP_005508763.1,TC-T1,TC-T1,1.60E-34,126.9,1,194,1,1,1,
,Yersinia pestis D182038,0,0,NC_017160,YP_005508763.1,TC-T1,TC-T1,1.60E-34,126.9,1,194,1,1,1,
,Yersinia pestis D182038,0,0,NC_017160,YP_005508763.1,TC-Phi297,TC-Phi297,0,204.1,4,184,1,0,1,
,Yersinia pestis D182038,0,0,NC_017160,YP_005508763.1,TC-HK97,TC-HK97,1.9,17.2,64,187,0,1,1,
,Hydrogenobacter thermophilus TK-6,0,0,NC_017161,YP_005511602.1,TC-HK97,TC-HK97,0.00000022,40,6,136,1,0,1,
,Hydrogenobacter thermophilus TK-6,0,0,NC_017161,YP_005511602.1,TC-Adjutor,TC-Adjutor,0.000002,36,7,143,0,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005513642.1,U_TC_Fam5,U_TC_Fam5,0.018,23.2,1,48,1,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005513642.1,U_TC_Fam5,U_TC_Fam5,0.018,23.2,28,107,1,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005513642.1,TC-T1,TC-T1,0,175.7,1,108,1,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005513642.1,TC-T1,TC-T1,0,175.7,1,108,1,0,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005513642.1,TC-HK97,TC-HK97,0.12,21.1,1,102,0,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005513955.1,TC-Mu,TC-Mu,0.00000015,39.8,7,125,1,0,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005513955.1,TC-Adjutor,TC-Adjutor,0.00046,28.4,54,161,0,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005514117.1,U_TC_Fam5,U_TC_Fam5,0.18,20,10,70,1,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005514117.1,U_TC_Fam5,U_TC_Fam5,0.18,20,42,121,1,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005514117.1,TC-T1,TC-T1,0,185.9,1,122,1,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005514117.1,TC-T1,TC-T1,0,185.9,1,122,1,0,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005514117.1,TC-HK97,TC-HK97,0.11,21.2,5,114,0,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005515202.1,U_TC_Fam5,U_TC_Fam5,0.00017,29.8,13,125,1,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005515202.1,TC-T1,TC-T1,0,182.6,1,126,1,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005515202.1,TC-T1,TC-T1,0,182.6,1,126,1,1,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005515202.1,TC-HK97,TC-HK97,7.9,15.2,7,81,1,0,1,
,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005515202.1,TC-HK97,TC-HK97,7.9,15.2,67,121,0,1,1,
,Yersinia pestis A1122,0,0,NC_017168,YP_005519972.1,TC-HK97,TC-HK97,4.4,16,2,77,1,0,1,
,Yersinia pestis A1122,0,0,NC_017168,YP_005519972.1,TC-HK97,TC-HK97,4.4,16,137,276,0,1,1,
,Yersinia pestis A1122,0,0,NC_017168,YP_005522757.1,U_TC_Fam5,U_TC_Fam5,0,437,1,194,1,1,1,
,Yersinia pestis A1122,0,0,NC_017168,YP_005522757.1,TC-T1,TC-T1,1.60E-34,126.9,1,194,1,1,1,
,Yersinia pestis A1122,0,0,NC_017168,YP_005522757.1,TC-T1,TC-T1,1.60E-34,126.9,1,194,1,1,1,
,Yersinia pestis A1122,0,0,NC_017168,YP_005522757.1,TC-Phi297,TC-Phi297,0,204.1,4,184,1,0,1,
,Yersinia pestis A1122,0,0,NC_017168,YP_005522757.1,TC-HK97,TC-HK97,1.9,17.2,64,187,0,0,0,
,Yersinia pestis A1122,0,0,NC_017168,YP_005523542.1,TC-Mu,TC-Mu,0.52,18.5,32,111,0,1,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005525151.1,U_TC_Fam5,U_TC_Fam5,0.063,21.4,71,122,1,1,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005525151.1,U_TC_Fam5,U_TC_Fam5,0.063,21.4,105,183,1,1,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005525151.1,TC-T1,TC-T1,0,205.3,53,184,1,1,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005525151.1,TC-T1,TC-T1,0,205.3,53,184,1,1,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005525151.1,TC-HK97,TC-HK97,0.35,19.6,67,140,1,0,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005525151.1,TC-HK97,TC-HK97,0.35,19.6,126,179,0,1,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005526307.1,U_TC_Fam5,U_TC_Fam5,0.00027,29.1,15,120,1,1,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005526307.1,TC-T1,TC-T1,0,183.1,1,122,1,1,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005526307.1,TC-T1,TC-T1,0,183.1,1,122,1,1,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005526307.1,TC-HK97,TC-HK97,0.72,18.5,6,77,1,0,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005526307.1,TC-HK97,TC-HK97,0.72,18.5,58,118,0,1,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005526813.1,TC-Adjutor,TC-Adjutor,0.00018,29.7,58,162,1,1,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005526813.1,TC-HK97,TC-HK97,3.3,16.9,9,139,1,0,1,
,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005526813.1,TC-Mu,TC-Mu,0.00012,30.3,5,127,0,0,0,
,Bacillus amyloliquefaciens TA208,0,0,NC_017188,YP_005540888.1,TC-HK97,TC-HK97,0.52,19.5,1,122,0,0,0,
,Bacillus amyloliquefaciens TA208,0,0,NC_017188,YP_005541825.1,TC-phiC2,TC-phiC2,0,279.7,1,163,0,0,0,
,Bacillus amyloliquefaciens TA208,0,0,NC_017188,YP_005542718.1,TC-HK97,TC-HK97,0.00000000015,50.1,9,115,0,0,0,
,Bacillus amyloliquefaciens LL3,0,0,NC_017190,YP_005544402.1,TC-HK97,TC-HK97,0,50.9,7,136,0,0,0,
,Bacillus amyloliquefaciens LL3,0,0,NC_017190,YP_005544685.1,TC-HK97,TC-HK97,0,53.5,8,129,0,0,0,
,Bacillus amyloliquefaciens LL3,0,0,NC_017190,YP_005545129.1,TC-phiC2,TC-phiC2,0,279.7,1,163,0,0,0,
,Bacillus amyloliquefaciens LL3,0,0,NC_017190,YP_005546127.1,TC-HK97,TC-HK97,0.31,20.2,1,123,0,0,0,
,Bacillus amyloliquefaciens LL3,0,0,NC_017190,YP_005547117.1,TC-HK97,TC-HK97,0,51.8,9,117,0,0,0,
,Bacillus amyloliquefaciens XH7,0,0,NC_017191,YP_005549254.1,TC-HK97,TC-HK97,0.52,19.5,1,122,0,0,0,
,Bacillus amyloliquefaciens XH7,0,0,NC_017191,YP_005550194.1,TC-phiC2,TC-phiC2,0,279.7,1,163,0,0,0,
,Bacillus amyloliquefaciens XH7,0,0,NC_017191,YP_005551107.1,TC-HK97,TC-HK97,0.00000000015,50.1,9,115,0,0,0,
,Arcobacter sp. L,0,0,NC_017192,YP_005554056.1,TC-Mu,TC-Mu,0.00000000055,47.6,8,151,0,0,0,
,Bacillus subtilis subsp. subtilis str. RO-NN-1,0,0,NC_017195,YP_005556364.1,TC-phiC2,TC-phiC2,0,288.3,1,161,0,0,0,
,Bacillus subtilis subsp. natto BEST195,0,0,NC_017196,YP_005560561.1,TC-phiC2,TC-phiC2,0,288.3,1,161,0,0,0,
,Bacillus subtilis subsp. natto BEST195,0,0,NC_017196,YP_005561100.1,TC-HK97,TC-HK97,1.4,18.1,2,40,0,1,1,
,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005564069.1,TC-JCL103,TC-JCL103,5.60E-35,128.6,1,109,1,1,1,
,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005564069.1,TC-T1,TC-T1,1.9,16.5,1,98,1,0,1,
,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005564069.1,TC-T1,TC-T1,1.9,16.5,1,98,0,1,1,
,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005568508.1,TC-HK97,TC-HK97,0.00000000062,48.2,6,115,1,0,1,
,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005568508.1,TC-JCL103,TC-JCL103,3.1,16.2,5,125,0,1,1,
,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005571817.1,TC-Bthuringiensis,TC-Bthuringiensis,0,274.8,1,119,1,0,1,
,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005571817.1,TC-Bthuringiensis,TC-Bthuringiensis,0,274.8,1,119,0,1,1,
,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005572559.1,TC-HK97,TC-HK97,0.09,22,13,119,1,1,1,
,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005572559.1,TC-BCereusAH820,TC-BCereusAH820,0,52,2,131,1,0,1,
,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005572559.1,TC-BCereusAH820,TC-BCereusAH820,0,52,2,131,0,1,1,
,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005573716.1,TC-JCL103,TC-JCL103,2.80E-40,145.7,1,114,1,1,1,
,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005573716.1,TC-T1,TC-T1,1.4,16.9,3,102,1,0,1,
,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005573716.1,TC-T1,TC-T1,1.4,16.9,3,102,0,0,0,
,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005574905.1,TC-HK97,TC-HK97,0.0000023,36.7,6,115,0,0,0,
,Bordetella pertussis CS,0,0,NC_017223,YP_005590300.1,TC-ShewanellaB,TC-ShewanellaB,5.60E+00,15.2,3,95,0,1,1,
,Bordetella pertussis CS,0,0,NC_017223,YP_005591298.1,TC-HK97,TC-HK97,0.000049,32.1,1,123,1,1,1,
,Bordetella pertussis CS,0,0,NC_017223,YP_005591298.1,U_TC_Fam5,U_TC_Fam5,7.10E-16,66.9,1,39,1,1,1,
,Bordetella pertussis CS,0,0,NC_017223,YP_005591298.1,U_TC_Fam5,U_TC_Fam5,7.10E-16,66.9,16,132,1,1,1,
,Bordetella pertussis CS,0,0,NC_017223,YP_005591298.1,TC-T1,TC-T1,2.50E-40,145.7,1,132,1,0,1,
,Bordetella pertussis CS,0,0,NC_017223,YP_005591298.1,TC-T1,TC-T1,2.50E-40,145.7,1,132,0,0,0,
,Brachyspira intermedia PWS/A,0,0,NC_017243,YP_005593307.1,TC-Mu,TC-Mu,1.80E-19,78.4,11,146,0,0,0,
,Brachyspira intermedia PWS/A,0,0,NC_017243,YP_005594430.1,TC-ListeriaB025,TC-ListeriaB025,6.3,15,86,136,0,0,0,
,Brachyspira intermedia PWS/A,0,0,NC_017243,YP_005594738.1,TC-Lam,TC-Lam,4.40E-30,113.4,1,230,0,0,0,
