,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*,75
,Gallibacterium anatis UMN179,Gallus gallus,0,NC_015460,YP_004419162.1,TR-P2,TR-P2,3.00E-33,122.9,1,131,0,0,0,
,Gallibacterium anatis UMN179,Gallus gallus,0,NC_015460,YP_004420539.1,TR-BcepMu,TR-BcepMu,0,175.4,11,154,0,0,0,
,Gallibacterium anatis UMN179,Gallus gallus,0,NC_015460,YP_004421306.1,TR-Lam,TR-Lam,1.30E-20,82.2,1,134,0,0,0,
,Gallibacterium anatis UMN179,Gallus gallus,0,NC_015460,YP_004421393.1,TR-P2,TR-P2,1.70E-27,104.3,1,138,0,1,1,
,Campylobacter phage NCTC12673,Campylobacter jejuni,neg,NC_015464,YP_004421677.1,TR-T4,TR-T4,0,205.2,1,195,1,0,1,
,Campylobacter phage NCTC12673,Campylobacter jejuni,neg,NC_015464,YP_004421677.1,U_T4-gp15_tss,U_T4-gp15_tss,1.80E-21,85.3,1,233,0,0,0,
,Synechococcus phage S-CBS3,Synechococcus sp. CB0202,neg,NC_015465,YP_004421732.1,U_TR_Oligot,U_TR_Oligot,0.0000095,33.9,1,135,0,0,0,
,Roseobacter phage RDJL Phi 1,Roseobacter denitrificans OCh114,neg,NC_015466,YP_004421845.1,TR-T1,TR-T1,0.0081,24.3,7,125,0,1,1,
,Chlamydophila psittaci 6BC,0,0,NC_015470,YP_004422196.1,TR-CD38,TR-CD38,4.3,15.7,96,159,1,0,1,
,Chlamydophila psittaci 6BC,0,0,NC_015470,YP_004422196.1,TR-CD38,TR-CD38,4.3,15.7,221,286,0,0,0,
,Thermodesulfobium narugense DSM 14796,0,0,NC_015499,YP_004438026.1,TR-Sfi21,TR-Sfi21,8.9,14.8,258,362,0,0,0,
,Haliscomenobacter hydrossis DSM 1100,0,0,NC_015510,YP_004447450.1,TR-BcepMu,TR-BcepMu,4.3,15.3,171,250,0,1,1,
,Haliscomenobacter hydrossis DSM 1100,0,0,NC_015510,YP_004449274.1,TR-CD38,TR-CD38,8.8,14.6,62,153,1,0,1,
,Haliscomenobacter hydrossis DSM 1100,0,0,NC_015510,YP_004449274.1,TR-CD38,TR-CD38,8.8,14.6,138,185,0,0,0,
,Melissococcus plutonius ATCC 35311,0,0,NC_015516,YP_004456647.1,TR-BCJA1C,TR-BCJA1C,0.00019,29.6,1,47,0,0,0,
,Melissococcus plutonius ATCC 35311,0,0,NC_015516,YP_004456721.1,TR-SPP1,TR-SPP1,0.0021,26.6,8,125,0,0,0,
,Melissococcus plutonius ATCC 35311,0,0,NC_015516,YP_004456842.1,TR-PY54,TR-PY54,6,15.4,165,301,0,1,1,
,Tepidanaerobacter acetatoxydans Re1,0,0,NC_015519,YP_004460513.1,TR-SPP1,TR-SPP1,0.00028,29.5,7,109,1,0,1,
,Tepidanaerobacter acetatoxydans Re1,0,0,NC_015519,YP_004460513.1,TR-FL3A,TR-FL3A,0,55.6,1,117,0,1,1,
,Tepidanaerobacter acetatoxydans Re1,0,0,NC_015519,YP_004461826.1,TR-SPP1,TR-SPP1,0.0046,25.5,4,103,1,1,1,
,Tepidanaerobacter acetatoxydans Re1,0,0,NC_015519,YP_004461826.1,TR-Che8,TR-Che8,4.8,15.8,2,90,1,1,1,
,Tepidanaerobacter acetatoxydans Re1,0,0,NC_015519,YP_004461826.1,TR-Bmccartyi,TR-Bmccartyi,0.00000039,38.5,1,108,1,1,1,
,Tepidanaerobacter acetatoxydans Re1,0,0,NC_015519,YP_004461826.1,TR-ListeriaB025,TR-ListeriaB025,0.002,26.4,2,105,1,0,1,
,Tepidanaerobacter acetatoxydans Re1,0,0,NC_015519,YP_004461826.1,TR-FL3A,TR-FL3A,0.0081,24.6,1,107,0,0,0,
,Mahella australiensis 50-1 BON,0,0,NC_015520,YP_004462110.1,TR-Adjutor,TR-Adjutor,0,54.4,2,128,0,0,0,
,Mahella australiensis 50-1 BON,0,0,NC_015520,YP_004462604.1,TR-Adjutor,TR-Adjutor,0,366.7,1,276,0,1,1,
,Mahella australiensis 50-1 BON,0,0,NC_015520,YP_004464336.1,TR-BCJA1C,TR-BCJA1C,0.83,17.8,1,42,1,0,1,
,Mahella australiensis 50-1 BON,0,0,NC_015520,YP_004464336.1,TR-BCJA1C,TR-BCJA1C,0.83,17.8,76,156,0,0,0,
,Mahella australiensis 50-1 BON,0,0,NC_015520,YP_004464762.1,TR-Bmccartyi,TR-Bmccartyi,0,183.5,1,113,0,1,1,
,Mahella australiensis 50-1 BON,0,0,NC_015520,YP_004464850.1,TR-SPP1,TR-SPP1,0,58.2,5,115,1,1,1,
,Mahella australiensis 50-1 BON,0,0,NC_015520,YP_004464850.1,TR-Che8,TR-Che8,0.00000025,39.3,1,111,1,1,1,
,Mahella australiensis 50-1 BON,0,0,NC_015520,YP_004464850.1,TR-PY54,TR-PY54,0.000039,32.2,1,93,1,1,1,
,Mahella australiensis 50-1 BON,0,0,NC_015520,YP_004464850.1,TR-PY54,TR-PY54,0.000039,32.2,90,122,1,0,1,
,Mahella australiensis 50-1 BON,0,0,NC_015520,YP_004464850.1,TR-ListeriaB025,TR-ListeriaB025,8.3,14.8,1,116,0,0,0,
,Thermoanaerobacterium xylanolyticum LX-11,0,0,NC_015555,YP_004469867.1,TR-Cereus,TR-Cereus,8.7,14.6,5,126,0,1,1,
,Thermoanaerobacterium xylanolyticum LX-11,0,0,NC_015555,YP_004469950.1,U_T4-gp15_tss,U_T4-gp15_tss,0.75,17.9,193,313,1,0,1,
,Thermoanaerobacterium xylanolyticum LX-11,0,0,NC_015555,YP_004469950.1,U_T4-gp15_tss,U_T4-gp15_tss,0.75,17.9,338,405,0,0,0,
,Thermoanaerobacterium xylanolyticum LX-11,0,0,NC_015555,YP_004470374.1,TR-Che8,TR-Che8,8.9,14.9,15,92,0,0,0,
,Pseudomonas fulva 12-X,0,0,NC_015556,YP_004474223.1,TR-DMS3,TR-DMS3,4.9,16,73,151,0,0,0,
,Streptococcus parauberis KCTC 11537,0,0,NC_015558,YP_004478970.1,TR-Sfi21,TR-Sfi21,8.20E-38,137.6,1,123,0,0,0,
,Streptococcus parauberis KCTC 11537,0,0,NC_015558,YP_004479385.1,TR-MGAS315,TR-MGAS315,0,59.7,1,92,0,0,0,
,Streptococcus parauberis KCTC 11537,0,0,NC_015558,YP_004479715.1,TR-BCJA1C,TR-BCJA1C,5.30E-37,135,1,135,0,0,0,
,Streptococcus parauberis KCTC 11537,0,0,NC_015558,YP_004479976.1,TR-CD38,TR-CD38,1.9,16.7,58,173,0,0,0,
,Marinomonas posidonica IVIA-Po-181,Posidonia oceanica (seagrass),0,NC_015559,YP_004481919.1,TR-PY54,TR-PY54,5.8,15.4,157,259,0,0,0,
,Delftia sp. Cs1-4,0,0,NC_015563,YP_004489381.1,TR-DMS3,TR-DMS3,0,52.9,1,110,0,0,0,
,Delftia sp. Cs1-4,0,0,NC_015563,YP_004489710.1,TR-P2,TR-P2,3.70E-29,109.7,1,134,0,0,0,
,Delftia sp. Cs1-4,0,0,NC_015563,YP_004490511.1,U_TR_Oligot,U_TR_Oligot,0.2,19.9,69,156,0,1,1,
,Amycolicicoccus subflavus DQS3-9A1,0,0,NC_015564,YP_004492226.1,TR-PA6,TR-PA6,1.9,16.7,12,53,1,0,1,
,Amycolicicoccus subflavus DQS3-9A1,0,0,NC_015564,YP_004492226.1,TR-PA6,TR-PA6,1.9,16.7,133,195,0,0,0,
,Amycolicicoccus subflavus DQS3-9A1,0,0,NC_015564,YP_004494899.1,TR-SPP1,TR-SPP1,8.8,14.9,56,156,0,0,0,
,Amycolicicoccus subflavus DQS3-9A1,0,0,NC_015564,YP_004495150.1,TR-SPP1,TR-SPP1,1,17.9,170,285,0,0,0,
,Serratia sp. AS12,rapeseed plant,0,NC_015566,YP_004499256.1,TR-P2,TR-P2,5.50E-31,115.6,1,129,0,0,0,
,Serratia sp. AS12,rapeseed plant,0,NC_015566,YP_004500590.1,TR-DMS3,TR-DMS3,1.1,18.1,2,108,0,0,0,
,Serratia sp. AS12,rapeseed plant,0,NC_015566,YP_004501831.1,TR-Lam,TR-Lam,0,192.4,1,133,0,0,0,
,Serratia plymuthica AS9,0,0,NC_015567,YP_004504208.1,TR-P2,TR-P2,5.50E-31,115.6,1,129,0,0,0,
,Serratia plymuthica AS9,0,0,NC_015567,YP_004505543.1,TR-DMS3,TR-DMS3,1.1,18.1,2,108,0,0,0,
,Serratia plymuthica AS9,0,0,NC_015567,YP_004506783.1,TR-Lam,TR-Lam,0,192.4,1,133,0,0,0,
,Clostridium phage phiCD38-2,Clostridium difficile,pos,NC_015568,YP_004508389.1,TR-CD38,TR-CD38,0,215.3,1,143,0,1,1,
,Synechococcus phage S-CRM01,Synechococcus sp. LC16,neg,NC_015569,YP_004508464.1,TR-T4,TR-T4,0,266.1,1,210,1,0,1,
,Synechococcus phage S-CRM01,Synechococcus sp. LC16,neg,NC_015569,YP_004508464.1,U_T4-gp15_tss,U_T4-gp15_tss,1.60E-31,118.2,1,238,0,0,0,
,Synechococcus phage S-CRM01,Synechococcus sp. LC16,neg,NC_015569,YP_004508690.1,TR-Cereus,TR-Cereus,5.1,15.4,2,52,0,0,0,
,Methylomonas methanica MC09,0,0,NC_015572,YP_004515086.1,TR-meningitidis,TR-meningitidis,5.6,15.3,68,130,0,0,0,
,Desulfotomaculum kuznetsovii DSM 6115,0,0,NC_015573,YP_004516501.1,TR-BCJA1C,TR-BCJA1C,0.88,17.7,21,125,0,0,0,
,Treponema primitia ZAS-2,0,0,NC_015578,YP_004530870.1,U_TR_Oligot,U_TR_Oligot,5.7,15.1,45,139,0,0,0,
,Novosphingobium sp. PP1Y,0,0,NC_015580,YP_004533138.1,TR-P2,TR-P2,2.50E-27,103.8,1,131,0,0,0,
,Novosphingobium sp. PP1Y,0,0,NC_015580,YP_004534256.1,TR-Lam,TR-Lam,5.4,15.5,3,56,0,0,0,
,Novosphingobium sp. PP1Y,0,0,NC_015580,YP_004535742.1,TR-Lam,TR-Lam,5.4,15.5,3,56,0,0,0,
,Novosphingobium sp. PP1Y,0,0,NC_015580,YP_004536094.1,TR-SPP1,TR-SPP1,0.00000000079,47.4,8,122,0,0,0,
,Mycobacterium phage Faith1,0,myc,NC_015584,YP_004538956.1,TR-Che8,TR-Che8,0.005,25.4,15,147,0,0,0,
,Isoptericola variabilis 225,Mastotermes darwiniensis,0,NC_015588,YP_004543587.1,TR-T1,TR-T1,8.7,14.5,276,327,0,0,0,
,Desulfotomaculum ruminis DSM 2154,sheep,0,NC_015589,YP_004544873.1,TR-CD38,TR-CD38,4.80E-42,151.6,1,141,0,0,0,
,Desulfotomaculum ruminis DSM 2154,sheep,0,NC_015589,YP_004546597.1,TR-SPP1,TR-SPP1,9.2,14.9,198,305,0,0,0,
,Desulfotomaculum ruminis DSM 2154,sheep,0,NC_015589,YP_004546993.1,TR-Adjutor,TR-Adjutor,0,50.6,174,326,0,1,1,
,Desulfotomaculum ruminis DSM 2154,sheep,0,NC_015589,YP_004547033.1,TR-SPP1,TR-SPP1,0.00024,29.7,7,113,1,1,1,
,Desulfotomaculum ruminis DSM 2154,sheep,0,NC_015589,YP_004547033.1,TR-ListeriaB025,TR-ListeriaB025,0.00027,29.3,1,119,1,0,1,
,Desulfotomaculum ruminis DSM 2154,sheep,0,NC_015589,YP_004547033.1,TR-FL3A,TR-FL3A,0.16,20.4,1,118,0,1,1,
,Streptococcus pasteurianus ATCC 43144,0,0,NC_015600,YP_004558554.1,U_TR_Oligot,U_TR_Oligot,8.6,14.5,65,129,1,0,1,
,Streptococcus pasteurianus ATCC 43144,0,0,NC_015600,YP_004558554.1,U_TR_Oligot,U_TR_Oligot,8.6,14.5,121,191,0,0,0,
,Erysipelothrix rhusiopathiae str. Fujisawa,0,0,NC_015601,YP_004560434.1,TR-Che8,TR-Che8,5.5,15.6,48,114,0,0,0,
,Frankia symbiont of Datisca glomerata,Datisca glomerata,0,NC_015656,YP_004585531.1,TR-Giles,TR-Giles,4.4,15.6,193,300,0,0,0,
,Geobacillus thermoglucosidasius C56-YS93,0,0,NC_015660,YP_004586874.1,TR-Bmccartyi,TR-Bmccartyi,0.000043,31.9,1,103,0,0,0,
,Enterobacter aerogenes KCTC 2190,0,0,NC_015663,YP_004594394.1,TR-T1,TR-T1,0.000056,31.2,5,115,0,0,0,
,Enterobacter aerogenes KCTC 2190,0,0,NC_015663,YP_004594629.1,TR-phi297,TR-phi297,0.000000037,41.8,5,127,0,0,0,
,[Cellvibrio] gilvus ATCC 13127,Bos taurus,0,NC_015671,YP_004600385.1,TR-Che8,TR-Che8,1.2,17.7,2,127,0,0,0,
,Corynebacterium resistens DSM 45100,0,0,NC_015673,YP_004605397.1,TR-Bmccartyi,TR-Bmccartyi,7.01E-45,160.2,3,114,0,0,0,
,Corynebacterium resistens DSM 45100,0,0,NC_015673,YP_004606082.1,TR-Bmccartyi,TR-Bmccartyi,7.01E-45,160.2,3,114,0,0,0,
,Mesorhizobium opportunistum WSM2075,0,0,NC_015675,YP_004609130.1,TR-SPP1,TR-SPP1,3,16.4,20,137,0,0,0,
,Mesorhizobium opportunistum WSM2075,0,0,NC_015675,YP_004613892.1,TR-SPP1,TR-SPP1,4.00E-18,74.1,10,127,0,1,1,
,Corynebacterium ulcerans BR-AD22,0,0,NC_015683,YP_004628661.1,TR-SPP1,TR-SPP1,2,17,16,81,1,0,1,
,Corynebacterium ulcerans BR-AD22,0,0,NC_015683,YP_004628661.1,TR-SPP1,TR-SPP1,2,17,75,127,0,0,0,
,Oligotropha carboxidovorans OM5,0,0,NC_015684,YP_004632424.1,TR-SPP1,TR-SPP1,8.30E-26,98.9,11,133,0,0,0,
,Oligotropha carboxidovorans OM5,0,0,NC_015684,YP_004634043.1,U_TR_Oligot,U_TR_Oligot,0,217.3,1,143,0,0,0,
,Clostridium acetobutylicum DSM 1731,0,0,NC_015687,YP_004634711.1,TR-SPP1,TR-SPP1,4.9,15.7,3,121,0,1,1,
,Clostridium acetobutylicum DSM 1731,0,0,NC_015687,YP_004636551.1,TR-SPP1,TR-SPP1,0.39,19.3,2,100,1,0,1,
,Clostridium acetobutylicum DSM 1731,0,0,NC_015687,YP_004636551.1,TR-Bmccartyi,TR-Bmccartyi,0.0036,25.8,1,106,0,1,1,
,Paenibacillus mucilaginosus KNP414,0,0,NC_015690,YP_004639655.1,TR-SPP1,TR-SPP1,0.000000013,43.4,7,113,1,1,1,
,Paenibacillus mucilaginosus KNP414,0,0,NC_015690,YP_004639655.1,TR-ListeriaB025,TR-ListeriaB025,0.000054,31.5,1,117,1,0,1,
,Paenibacillus mucilaginosus KNP414,0,0,NC_015690,YP_004639655.1,TR-FL3A,TR-FL3A,0.051,22,1,116,0,0,0,
,Paenibacillus mucilaginosus KNP414,0,0,NC_015690,YP_004640130.1,TR-Bmccartyi,TR-Bmccartyi,4.2,15.9,192,227,0,0,0,
,Paenibacillus mucilaginosus KNP414,0,0,NC_015690,YP_004641283.1,TR-Che8,TR-Che8,6.6,15.3,50,112,0,1,1,
,Paenibacillus mucilaginosus KNP414,0,0,NC_015690,YP_004641338.1,TR-T1,TR-T1,1.7,16.8,75,139,1,0,1,
,Paenibacillus mucilaginosus KNP414,0,0,NC_015690,YP_004641338.1,TR-T1,TR-T1,1.7,16.8,186,236,0,1,1,
,Paenibacillus mucilaginosus KNP414,0,0,NC_015690,YP_004642050.1,TR-phi297,TR-phi297,6.3,15.2,16,70,1,1,1,
,Paenibacillus mucilaginosus KNP414,0,0,NC_015690,YP_004642050.1,TR-phi297,TR-phi297,6.3,15.2,57,108,1,0,1,
,Paenibacillus mucilaginosus KNP414,0,0,NC_015690,YP_004642050.1,TR-phi297,TR-phi297,6.3,15.2,76,126,0,1,1,
,Lactobacillus reuteri SD2112,0,0,NC_015697,YP_004650603.1,TR-SPP1,TR-SPP1,8.1,15,7,122,1,1,1,
,Lactobacillus reuteri SD2112,0,0,NC_015697,YP_004650603.1,TR-Che8,TR-Che8,3.7,16.1,16,117,1,0,1,
,Lactobacillus reuteri SD2112,0,0,NC_015697,YP_004650603.1,TR-ListeriaB025,TR-ListeriaB025,0.00000053,38,1,133,0,0,0,
,Myxococcus fulvus HW-1,0,0,NC_015711,YP_004665672.1,TR-DMS3,TR-DMS3,4.9,16,79,177,0,0,0,
,Myxococcus fulvus HW-1,0,0,NC_015711,YP_004666900.1,TR-Che8,TR-Che8,7.1,15.2,2,71,0,0,0,
,Hyphomicrobium sp. MC1,0,0,NC_015717,YP_004675965.1,TR-SPP1,TR-SPP1,2.00E-16,68.7,11,128,0,0,0,
,Hyphomicrobium sp. MC1,0,0,NC_015717,YP_004676170.1,TR-SPP1,TR-SPP1,6.20E-27,102.6,11,134,0,0,0,
,Gordonia phage GTE2,Gordonia terrae,pos,NC_015720,YP_004678780.1,TR-Che8,TR-Che8,4.20E-18,74.1,1,119,0,1,1,
,Roseobacter litoralis Och 149,0,0,NC_015730,YP_004689010.1,TR-T1,TR-T1,2.2,16.4,69,137,1,1,1,
,Roseobacter litoralis Och 149,0,0,NC_015730,YP_004689010.1,TR-T1,TR-T1,2.2,16.4,208,249,1,0,1,
,Roseobacter litoralis Och 149,0,0,NC_015730,YP_004689010.1,TR-T1,TR-T1,2.2,16.4,242,321,0,0,0,
,Roseobacter litoralis Och 149,0,0,NC_015730,YP_004690058.1,TR-Sfi21,TR-Sfi21,9.1,14.8,53,105,0,0,0,
,Roseobacter litoralis Och 149,0,0,NC_015730,YP_004690368.1,TR-SPP1,TR-SPP1,4.40E-20,80.5,12,133,0,0,0,
,Nitrosomonas sp. Is79A3,0,0,NC_015731,YP_004695421.1,TR-T4,TR-T4,1.5,16.9,1,75,0,0,0,
,Spirochaeta caldaria DSM 7334,0,0,NC_015732,YP_004698491.1,TR-BcepMu,TR-BcepMu,0.074,21,320,430,0,0,0,
,Pseudomonas putida S16,0,0,NC_015733,YP_004700710.1,TR-DMS3,TR-DMS3,6.00E-29,109.4,1,116,0,0,0,
,Pseudomonas putida S16,0,0,NC_015733,YP_004701922.1,TR-T1,TR-T1,0.0000099,33.7,5,132,0,1,1,
,Pseudomonas putida S16,0,0,NC_015733,YP_004702128.1,TR-SPP1,TR-SPP1,0.18,20.4,6,64,1,0,1,
,Pseudomonas putida S16,0,0,NC_015733,YP_004702128.1,TR-SPP1,TR-SPP1,0.18,20.4,225,302,0,0,0,
,Pseudomonas putida S16,0,0,NC_015733,YP_004703794.1,TR-PY54,TR-PY54,1.4,17.4,135,247,0,0,0,
,Leuconostoc sp. C2,0,0,NC_015734,YP_004706049.1,TR-SPP1,TR-SPP1,0.00000000022,49.1,11,128,0,0,0,
,Clostridium sp. SY8519,0,0,NC_015737,YP_004707245.1,TR-CD38,TR-CD38,3.90E-22,87.1,1,142,0,0,0,
,Clostridium sp. SY8519,0,0,NC_015737,YP_004707806.1,TR-MGAS315,TR-MGAS315,9.4,14.5,122,188,0,0,0,
,Sulfobacillus acidophilus TPY,0,0,NC_015757,YP_004718490.1,TR-Che8,TR-Che8,2,17,6,67,0,1,1,
,Sulfobacillus acidophilus TPY,0,0,NC_015757,YP_004720969.1,U_TR_Oligot,U_TR_Oligot,9.1,14.5,143,210,1,0,1,
,Sulfobacillus acidophilus TPY,0,0,NC_015757,YP_004720969.1,U_TR_Oligot,U_TR_Oligot,9.1,14.5,218,285,0,1,1,
,Mycobacterium africanum GM041182,0,0,NC_015758,YP_004722224.1,TR-meningitidis,TR-meningitidis,2.9,16.2,38,92,1,0,1,
,Mycobacterium africanum GM041182,0,0,NC_015758,YP_004722224.1,TR-meningitidis,TR-meningitidis,2.9,16.2,286,395,0,0,0,
,Weissella koreensis KACC 15510,0,0,NC_015759,YP_004726150.1,TR-Andromeda,TR-Andromeda,6.2,15,96,202,0,0,0,
,Salmonella bongori NCTC 12419,0,0,NC_015761,YP_004731633.1,TR-P2,TR-P2,1.80E-36,133.4,1,131,0,1,1,
,Zobellia galactanivorans,0,0,NC_015844,YP_004737530.1,TR-Bmccartyi,TR-Bmccartyi,5.1,15.6,1,48,1,1,1,
,Zobellia galactanivorans,0,0,NC_015844,YP_004737530.1,TR-Bmccartyi,TR-Bmccartyi,5.1,15.6,47,115,1,1,1,
,Zobellia galactanivorans,0,0,NC_015844,YP_004737530.1,TR-Bmccartyi,TR-Bmccartyi,5.1,15.6,110,178,1,0,1,
,Zobellia galactanivorans,0,0,NC_015844,YP_004737530.1,TR-Bmccartyi,TR-Bmccartyi,5.1,15.6,175,242,0,0,0,
,Capnocytophaga canimorsus Cc5,Homo sapiens,0,NC_015846,YP_004739482.1,TR-Sfi21,TR-Sfi21,0.017,23.6,5,88,0,1,1,
,Mycobacterium canettii CIPT 140010059,0,0,NC_015848,YP_004743989.1,TR-meningitidis,TR-meningitidis,2.9,16.2,38,92,1,0,1,
,Mycobacterium canettii CIPT 140010059,0,0,NC_015848,YP_004743989.1,TR-meningitidis,TR-meningitidis,2.9,16.2,286,395,0,1,1,
,Acidithiobacillus caldus SM-1,0,0,NC_015850,YP_004749879.1,TR-DMS3,TR-DMS3,0.69,18.8,62,178,1,1,1,
,Acidithiobacillus caldus SM-1,0,0,NC_015850,YP_004749879.1,TR-DMS3,TR-DMS3,0.69,18.8,191,240,1,0,1,
,Acidithiobacillus caldus SM-1,0,0,NC_015850,YP_004749879.1,TR-DMS3,TR-DMS3,0.69,18.8,590,632,0,0,0,
,Collimonas fungivorans Ter331,0,0,NC_015856,YP_004751658.1,TR-P2,TR-P2,2.00E-37,136.4,1,132,0,1,1,
,Corynebacterium variabile DSM 44702,0,0,NC_015859,YP_004761059.1,TR-SPP1,TR-SPP1,3.6,16.2,7,64,1,0,1,
,Corynebacterium variabile DSM 44702,0,0,NC_015859,YP_004761059.1,TR-SPP1,TR-SPP1,3.6,16.2,130,198,0,1,1,
,Megasphaera elsdenii DSM 20460,0,0,NC_015873,YP_004765525.1,TR-T1,TR-T1,9.8,14.3,58,106,1,0,1,
,Megasphaera elsdenii DSM 20460,0,0,NC_015873,YP_004765525.1,TR-T1,TR-T1,9.8,14.3,243,295,0,1,1,
,Streptococcus pseudopneumoniae IS7493,0,0,NC_015875,YP_004767348.1,TR-SPP1,TR-SPP1,0.002,26.7,6,110,1,0,1,
,Streptococcus pseudopneumoniae IS7493,0,0,NC_015875,YP_004767348.1,TR-FL3A,TR-FL3A,0,50.3,1,118,0,0,0,
,Streptococcus pseudopneumoniae IS7493,0,0,NC_015875,YP_004767388.1,TR-ListeriaB025,TR-ListeriaB025,6.30E-38,138,2,126,0,0,0,
,Streptococcus pseudopneumoniae IS7493,0,0,NC_015875,YP_004768699.1,TR-T4,TR-T4,2.3,16.2,13,143,0,0,0,
,Candidatus Arthromitus sp. SFB-mouse-Japan,0,0,NC_015913,YP_004770648.1,TR-CD38,TR-CD38,0,167.4,2,142,0,0,0,
,Cyclobacterium marinum DSM 745,0,0,NC_015914,YP_004775899.1,TR-MGAS315,TR-MGAS315,1.2,17.4,46,168,0,0,0,
,Lactococcus garvieae ATCC 49156,0,0,NC_015930,YP_004779281.1,TR-FL3A,TR-FL3A,0,175.2,1,120,0,0,0,
,Acidithiobacillus ferrivorans SS3,0,0,NC_015942,YP_004784975.1,TR-DMS3,TR-DMS3,3.3,16.6,68,166,0,0,0,
,Muricauda ruestringensis DSM 13258,0,0,NC_015945,YP_004787317.1,TR-CD38,TR-CD38,8.8,14.6,896,1011,0,0,0,
,Muricauda ruestringensis DSM 13258,0,0,NC_015945,YP_004789522.1,TR-MGAS315,TR-MGAS315,9.7,14.5,63,146,0,0,0,
,Mycoplasma putrefaciens KS1,goat,0,NC_015946,YP_004790292.1,U_TR_Oligot,U_TR_Oligot,7.7,14.7,71,142,0,1,1,
,Stenotrophomonas maltophilia JV3,0,0,NC_015947,YP_004790791.1,TR-SPP1,TR-SPP1,0.0000000093,43.9,5,108,1,0,1,
,Stenotrophomonas maltophilia JV3,0,0,NC_015947,YP_004790791.1,TR-Che8,TR-Che8,0.03,22.9,2,109,0,0,0,
,Caldicellulosiruptor lactoaceticus 6A,0,0,NC_015949,YP_004799139.1,TR-FL3A,TR-FL3A,3,16.3,215,293,0,0,0,
,Haemophilus parainfluenzae T3T1,0,0,NC_015964,YP_004822112.1,TR-P2,TR-P2,2.00E-35,130,1,131,0,1,1,
,Rhodothermus marinus SG0.5JP17-172,0,0,NC_015966,YP_004825541.1,TR-Che8,TR-Che8,1.8,17.1,44,108,1,0,1,
,Rhodothermus marinus SG0.5JP17-172,0,0,NC_015966,YP_004825541.1,TR-Che8,TR-Che8,1.8,17.1,236,303,0,0,0,
,Enterobacter asburiae LF7a,0,0,NC_015968,YP_004829184.1,TR-phi297,TR-phi297,0.000000052,41.3,5,125,0,1,1,
,Enterobacter asburiae LF7a,0,0,NC_015968,YP_004829580.1,TR-SPP1,TR-SPP1,0.00000000021,49.3,4,116,1,0,1,
,Enterobacter asburiae LF7a,0,0,NC_015968,YP_004829580.1,TR-Che8,TR-Che8,4.6,15.8,27,118,0,0,0,
,Lactobacillus ruminis ATCC 27782,0,0,NC_015975,YP_004831957.1,TR-Che8,TR-Che8,0.000016,33.5,1,110,0,0,0,
,Sphingobium sp. SYK-6,0,0,NC_015976,YP_004835290.1,TR-Che8,TR-Che8,2.2,16.8,70,157,0,0,0,
,Sphingobium sp. SYK-6,0,0,NC_015976,YP_004836450.1,TR-SPP1,TR-SPP1,0.00016,30.2,10,123,0,0,0,
,Roseburia hominis A2-183,0,0,NC_015977,YP_004838860.1,TR-Lam,TR-Lam,9.9,14.6,11,110,0,1,1,
,Pseudogulbenkiania sp. NH8B,0,0,NC_016002,YP_004845802.1,TR-BcepMu,TR-BcepMu,0.00000018,39.2,9,154,1,0,1,
,Pseudogulbenkiania sp. NH8B,0,0,NC_016002,YP_004845802.1,TR-DMS3,TR-DMS3,1.30E-18,76,2,131,0,0,0,
,Pseudogulbenkiania sp. NH8B,0,0,NC_016002,YP_004846911.1,TR-DMS3,TR-DMS3,8.80E-19,76.5,6,122,0,0,0,
,Pseudogulbenkiania sp. NH8B,0,0,NC_016002,YP_004847340.1,TR-DMS3,TR-DMS3,8.80E-19,76.5,6,122,0,1,1,
,Xanthomonas axonopodis pv. citrumelo F1,0,0,NC_016010,YP_004853516.1,TR-SPP1,TR-SPP1,1.1,17.8,4,75,1,0,1,
,Xanthomonas axonopodis pv. citrumelo F1,0,0,NC_016010,YP_004853516.1,TR-SPP1,TR-SPP1,1.1,17.8,429,520,0,0,0,
,Listeria ivanovii subsp. ivanovii PAM 55,0,0,NC_016011,YP_004855094.1,TR-Bcep1,TR-Bcep1,8.6,14.9,3,93,0,0,0,
,Candidatus Arthromitus sp. SFB-rat-Yit,0,0,NC_016012,YP_004857463.1,TR-phi297,TR-phi297,4.2,15.8,39,152,0,1,1,
,Candidatus Arthromitus sp. SFB-rat-Yit,0,0,NC_016012,YP_004857466.1,TR-BCJA1C,TR-BCJA1C,0.03,22.5,34,144,1,1,1,
,Candidatus Arthromitus sp. SFB-rat-Yit,0,0,NC_016012,YP_004857466.1,TR-BCJA1C,TR-BCJA1C,0.03,22.5,130,202,1,0,1,
,Candidatus Arthromitus sp. SFB-rat-Yit,0,0,NC_016012,YP_004857466.1,TR-BCJA1C,TR-BCJA1C,0.03,22.5,221,307,0,0,0,
,Micavibrio aeruginosavorus ARL-13,0,0,NC_016026,YP_004864891.1,TR-T1,TR-T1,0.000000019,42.4,5,128,0,0,0,
,Gluconacetobacter xylinus NBRC 3288,0,0,NC_016027,YP_004868334.1,TR-DMS3,TR-DMS3,0.0000000027,45.9,1,125,0,0,0,
