,,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*,
,,Corallococcus coralloides DSM 2259,0,0,NC_017030,YP_005373508.1,TG_Fam8,TG_Fam8,4.1,15.2,9,25,1,0,1,
,,Corallococcus coralloides DSM 2259,0,0,NC_017030,YP_005373508.1,TG_Fam8,TG_Fam8,4.1,15.2,87,134,0,0,0,
,,Frateuria aurantia DSM 6220,Lilium auratum,0,NC_017033,YP_005377156.1,FluMu_gp41,FluMu_gp41,0,58.3,20,97,0,0,0,
,,Rickettsia rhipicephali str. 3-7-female6-CWPP,0,0,NC_017042,YP_005390511.1,Phage_lambd_GpG,Phage_lambd_GpG,5.4,15.1,83,149,0,0,0,
,,Rickettsia montanensis str. OSU 85-930,0,0,NC_017043,YP_005391135.1,Phage_lambd_GpG,Phage_lambd_GpG,3,15.9,77,143,0,0,0,
,,Rickettsia parkeri str. Portsmouth,0,0,NC_017044,YP_005393455.1,FluMu_gp41,FluMu_gp41,1.2,17.4,2,47,0,1,1,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,porcine,0,NC_017046,YP_005396460.1,Phage_lambd_GpG,Phage_lambd_GpG,9.95E-44,156.4,1,126,1,0,1,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,porcine,0,NC_017046,YP_005396460.1,TIGR01674,TIGR01674,0,204,1,132,0,0,0,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,porcine,0,NC_017046,YP_005397371.1,FluMu_gp41,FluMu_gp41,0.0014,26.9,1,83,0,1,1,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,porcine,0,NC_017046,YP_005397970.1,Phage_lambd_GpG,Phage_lambd_GpG,2.52E-44,158.4,1,126,1,1,1,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,porcine,0,NC_017046,YP_005397970.1,TIGR01674,TIGR01674,3.00E-38,139,1,131,1,0,1,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,porcine,0,NC_017046,YP_005397970.1,U_Phage_TAC_1,U_Phage_TAC_1,5.9,15.2,6,86,0,0,0,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,porcine,0,NC_017046,YP_005398069.1,FluMu_gp41,FluMu_gp41,0,52.7,9,89,0,0,0,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,porcine,0,NC_017046,YP_005399482.1,FluMu_gp41,FluMu_gp41,4.20E-16,67,4,81,0,0,0,
,,Rahnella aquatilis HX2,0,0,NC_017047,YP_005400487.1,FluMu_gp41,FluMu_gp41,0.000000069,40.7,10,90,0,0,0,
,,Rahnella aquatilis HX2,0,0,NC_017047,YP_005401257.1,FluMu_gp41,FluMu_gp41,0.00014,30.1,13,93,0,1,1,
,,Rahnella aquatilis HX2,0,0,NC_017047,YP_005401573.1,Phage_lambd_GpG,Phage_lambd_GpG,1.80E-28,107.2,1,126,1,0,1,
,,Rahnella aquatilis HX2,0,0,NC_017047,YP_005401573.1,TIGR01674,TIGR01674,5.30E-26,99.3,1,135,0,0,0,
,,Rahnella aquatilis HX2,0,0,NC_017047,YP_005402603.1,U_Phage_TAC_13,U_Phage_TAC_13,5.9,15.6,25,88,0,1,1,
,,Rahnella aquatilis HX2,0,0,NC_017047,YP_005403325.1,TG_Fam1,TG_Fam1,2.8,16.5,15,57,1,0,1,
,,Rahnella aquatilis HX2,0,0,NC_017047,YP_005403325.1,TG_Fam1,TG_Fam1,2.8,16.5,111,174,0,0,0,
,,Rahnella aquatilis HX2,0,0,NC_017047,YP_005403512.1,FluMu_gp41,FluMu_gp41,0.00033,28.9,9,88,0,0,0,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005416664.1,TIGR02216,TIGR02216,7.4,15,319,366,0,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417612.1,FluMu_gp41,FluMu_gp41,0.00074,27.8,2,111,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417612.1,FluMu_gp41,FluMu_gp41,0.00074,27.8,111,210,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417612.1,FluMu_gp41,FluMu_gp41,0.00074,27.8,176,256,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417612.1,FluMu_gp41,FluMu_gp41,0.00074,27.8,228,312,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417612.1,FluMu_gp41,FluMu_gp41,0.00074,27.8,572,640,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417612.1,FluMu_gp41,FluMu_gp41,0.00074,27.8,635,742,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417612.1,FluMu_gp41,FluMu_gp41,0.00074,27.8,724,888,1,0,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005417612.1,FluMu_gp41,FluMu_gp41,0.00074,27.8,896,976,0,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,7,49,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,85,161,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,210,366,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,330,400,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,363,503,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,706,783,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,764,822,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,789,855,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,890,951,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,945,1007,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,981,1047,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,1062,1201,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,1188,1256,1,0,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418227.1,FluMu_gp41,FluMu_gp41,0.014,23.7,1242,1399,0,0,0,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418677.1,FluMu_gp41,FluMu_gp41,0.00000000056,47.4,8,88,0,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418743.1,FluMu_gp41,FluMu_gp41,0.000046,31.6,7,44,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418743.1,FluMu_gp41,FluMu_gp41,0.000046,31.6,56,127,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418743.1,FluMu_gp41,FluMu_gp41,0.000046,31.6,128,247,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418743.1,FluMu_gp41,FluMu_gp41,0.000046,31.6,251,313,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418743.1,FluMu_gp41,FluMu_gp41,0.000046,31.6,305,487,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418743.1,FluMu_gp41,FluMu_gp41,0.000046,31.6,473,585,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418743.1,FluMu_gp41,FluMu_gp41,0.000046,31.6,624,671,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418743.1,FluMu_gp41,FluMu_gp41,0.000046,31.6,665,726,1,0,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418743.1,FluMu_gp41,FluMu_gp41,0.000046,31.6,714,783,0,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,5,167,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,160,255,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,244,310,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,297,366,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,473,550,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,585,639,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,628,695,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,684,798,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,789,823,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,816,936,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,969,1024,1,1,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,1012,1087,1,0,1,
,,Rhodospirillum photometricum DSM 122,0,0,NC_017059,YP_005418744.1,FluMu_gp41,FluMu_gp41,0.00000068,37.5,1080,1270,0,1,1,
,,Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2,0,0,NC_017061,YP_005419568.1,TG_Fam1,TG_Fam1,2.4,16.7,3,22,1,0,1,
,,Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2,0,0,NC_017061,YP_005419568.1,TG_Fam1,TG_Fam1,2.4,16.7,24,37,0,0,0,
,,Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2,0,0,NC_017061,YP_005421481.1,TH_Fam3,TH_Fam3,0.018,22.9,5,116,0,0,0,
,,Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2,0,0,NC_017061,YP_005421717.1,XkdN,XkdN,2.1,16.6,116,213,0,0,0,
,,Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2,0,0,NC_017061,YP_005421813.1,DUF3647,DUF3647,0.77,18.3,9,90,0,0,0,
,,Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2,0,0,NC_017061,YP_005421951.1,TH_Fam3,TH_Fam3,0.0093,23.9,5,114,0,0,0,
,,Helicobacter pylori ELS37,Homo sapiens,0,NC_017063,YP_005424715.1,Phage_Gp14,Phage_Gp14,4,15.8,42,123,0,0,0,
,,Rickettsia slovaca str. D-CWPP,0,0,NC_017065,YP_005426964.1,FluMu_gp41,FluMu_gp41,1.2,17.4,2,47,0,0,0,
,,Marinobacter hydrocarbonoclasticus ATCC 49840,0,0,NC_017067,YP_005428948.1,TG_Fam1,TG_Fam1,3.8,16,16,34,0,0,0,
,,Marinobacter hydrocarbonoclasticus ATCC 49840,0,0,NC_017067,YP_005431569.1,TG_Fam1,TG_Fam1,0.4,19.2,51,86,0,1,1,
,,Selenomonas ruminantium subsp. lactilytica TAM6421,0,0,NC_017068,YP_005433908.1,TG_Fam1,TG_Fam1,4.8,15.7,4,42,1,0,1,
,,Selenomonas ruminantium subsp. lactilytica TAM6421,0,0,NC_017068,YP_005433908.1,TG_Fam1,TG_Fam1,4.8,15.7,110,127,0,1,1,
,,Caldilinea aerophila DSM 14535 = NBRC 104270,0,0,NC_017079,YP_005440421.1,TG_Fam1,TG_Fam1,6.2,15.4,7,22,1,0,1,
,,Caldilinea aerophila DSM 14535 = NBRC 104270,0,0,NC_017079,YP_005440421.1,TG_Fam1,TG_Fam1,6.2,15.4,28,49,0,0,0,
,,Caldilinea aerophila DSM 14535 = NBRC 104270,0,0,NC_017079,YP_005441323.1,FluMu_gp41,FluMu_gp41,1.4,17.2,178,245,0,1,1,
,,Caldilinea aerophila DSM 14535 = NBRC 104270,0,0,NC_017079,YP_005444011.1,TG_Fam1,TG_Fam1,0.000000001,46.7,64,87,1,0,1,
,,Caldilinea aerophila DSM 14535 = NBRC 104270,0,0,NC_017079,YP_005444011.1,TG_Fam1,TG_Fam1,0.000000001,46.7,135,198,0,0,0,
,,Phycisphaera mikurensis NBRC 102666,0,0,NC_017080,YP_005447034.1,DUF1789,DUF1789,5.4,15.6,26,135,0,0,0,
,,Bradyrhizobium sp. S23321,0,0,NC_017082,YP_005450117.1,DUF3356,DUF3356,0.0000000075,43.7,1,61,0,1,1,
,,Bradyrhizobium sp. S23321,0,0,NC_017082,YP_005453527.1,TG_Fam1,TG_Fam1,0.036,22.5,2,46,1,0,1,
,,Bradyrhizobium sp. S23321,0,0,NC_017082,YP_005453527.1,TG_Fam1,TG_Fam1,0.036,22.5,45,68,0,0,0,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005456082.1,U_Phage_TAC_13,U_Phage_TAC_13,0.044,22.4,5,94,0,0,0,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005456184.1,FluMu_gp41,FluMu_gp41,0.018,23.3,25,107,0,1,1,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005456757.1,DUF3356,DUF3356,2.8,16.2,176,267,1,0,1,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005456757.1,DUF3356,DUF3356,2.8,16.2,466,520,0,1,1,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005456784.1,Phage_lambd_GpG,Phage_lambd_GpG,0,191.8,1,127,1,1,1,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005456784.1,TIGR01674,TIGR01674,0,167.6,1,139,1,0,1,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005456784.1,U_Phage_TAC_1,U_Phage_TAC_1,4.1,15.7,5,102,0,1,1,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005457343.1,Phage_lambd_GpG,Phage_lambd_GpG,0,187.4,1,126,1,0,1,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005457343.1,TIGR01674,TIGR01674,0,216.4,1,136,0,0,0,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005457601.1,FluMu_gp41,FluMu_gp41,0.00000007,40.7,41,139,0,0,0,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005457730.1,FluMu_gp41,FluMu_gp41,0.000015,33.2,7,91,0,1,1,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005458518.1,TG_Fam1,TG_Fam1,7.4,15.1,7,24,1,0,1,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005458518.1,TG_Fam1,TG_Fam1,7.4,15.1,29,45,0,0,0,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005459215.1,FluMu_gp41,FluMu_gp41,0,52,6,86,0,1,1,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005459641.1,TG_Fam1,TG_Fam1,2.6,16.6,2,18,1,0,1,
,,Shigella sonnei 53G,0,0,NC_016822,YP_005459641.1,TG_Fam1,TG_Fam1,2.6,16.6,30,48,0,0,0,
,,Actinoplanes missouriensis 431,0,0,NC_017093,YP_005460482.1,DUF2376,DUF2376,7.9,15.1,714,750,0,0,0,
,,Actinoplanes missouriensis 431,0,0,NC_017093,YP_005467757.1,TG_Fam1,TG_Fam1,5.7,15.5,179,256,0,1,1,
,,Fervidobacterium pennivorans DSM 9078,0,0,NC_017095,YP_005471392.1,TG_Fam1,TG_Fam1,8,15,1,18,1,0,1,
,,Fervidobacterium pennivorans DSM 9078,0,0,NC_017095,YP_005471392.1,TG_Fam1,TG_Fam1,8,15,24,45,0,0,0,
,,Caldisericum exile AZM16c01,0,0,NC_017096,YP_005473475.1,TG_Fam5,TG_Fam5,6,15.2,405,484,0,0,0,
,,Yersinia pestis D106004,0,0,NC_017154,YP_005505077.1,DUF1789,DUF1789,3.00E-24,94,1,103,0,1,1,
,,Yersinia pestis D106004,0,0,NC_017154,YP_005505768.1,TG_Fam1,TG_Fam1,0.46,19,2,17,1,0,1,
,,Yersinia pestis D106004,0,0,NC_017154,YP_005505768.1,TG_Fam1,TG_Fam1,0.46,19,19,34,0,1,1,
,,Yersinia pestis D106004,0,0,NC_017154,YP_005506081.1,TIGR02216,TIGR02216,9.1,14.7,73,102,1,0,1,
,,Yersinia pestis D106004,0,0,NC_017154,YP_005506081.1,TIGR02216,TIGR02216,9.1,14.7,172,208,0,0,0,
,,Yersinia pestis D182038,0,0,NC_017160,YP_005508760.1,DUF1789,DUF1789,3.00E-24,94,1,103,0,1,1,
,,Yersinia pestis D182038,0,0,NC_017160,YP_005509619.1,TG_Fam1,TG_Fam1,0.46,19,2,17,1,0,1,
,,Yersinia pestis D182038,0,0,NC_017160,YP_005509619.1,TG_Fam1,TG_Fam1,0.46,19,19,34,0,1,1,
,,Yersinia pestis D182038,0,0,NC_017160,YP_005509931.1,TIGR02216,TIGR02216,9.1,14.7,73,102,1,0,1,
,,Yersinia pestis D182038,0,0,NC_017160,YP_005509931.1,TIGR02216,TIGR02216,9.1,14.7,172,208,0,0,0,
,,Hydrogenobacter thermophilus TK-6,0,0,NC_017161,YP_005511582.1,FluMu_gp41,FluMu_gp41,0.42,18.9,4,90,0,0,0,
,,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005513966.1,TG_Fam4,TG_Fam4,7.4,15.1,3,96,0,1,1,
,,Thermus thermophilus HB27,0,0,NC_005835,YP_005514.1,TG_Fam1,TG_Fam1,0.39,19.2,2,18,1,1,1,
,,Thermus thermophilus HB27,0,0,NC_005835,YP_005514.1,TG_Fam1,TG_Fam1,0.39,19.2,59,74,1,0,1,
,,Thermus thermophilus HB27,0,0,NC_005835,YP_005514.1,TG_Fam1,TG_Fam1,0.39,19.2,77,94,0,0,0,
,,Acinetobacter baumannii 1656-2,0,0,NC_017162,YP_005515142.1,TG_Fam3,TG_Fam3,1.2,17.3,72,170,0,0,0,
,,Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1,0,0,NC_017167,YP_005518573.1,TG_Fam1,TG_Fam1,9,14.8,3,27,0,1,1,
,,Yersinia pestis A1122,0,0,NC_017168,YP_005520480.1,TG_Fam1,TG_Fam1,8.9,14.9,10,23,1,1,1,
,,Yersinia pestis A1122,0,0,NC_017168,YP_005520480.1,TG_Fam1,TG_Fam1,8.9,14.9,42,72,1,0,1,
,,Yersinia pestis A1122,0,0,NC_017168,YP_005520480.1,TG_Fam1,TG_Fam1,8.9,14.9,99,112,0,1,1,
,,Yersinia pestis A1122,0,0,NC_017168,YP_005521584.1,TIGR02216,TIGR02216,9.1,14.7,73,102,1,0,1,
,,Yersinia pestis A1122,0,0,NC_017168,YP_005521584.1,TIGR02216,TIGR02216,9.1,14.7,172,208,0,1,1,
,,Yersinia pestis A1122,0,0,NC_017168,YP_005522131.1,TG_Fam1,TG_Fam1,0.46,19,2,17,1,0,1,
,,Yersinia pestis A1122,0,0,NC_017168,YP_005522131.1,TG_Fam1,TG_Fam1,0.46,19,19,34,0,0,0,
,,Yersinia pestis A1122,0,0,NC_017168,YP_005522754.1,DUF1789,DUF1789,3.00E-24,94,1,103,0,0,0,
,,Yersinia pestis A1122,0,0,NC_017168,YP_005523654.1,FluMu_gp41,FluMu_gp41,0,49.8,9,89,0,0,0,
,,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005526243.1,TG_Fam3,TG_Fam3,1.2,17.3,72,170,0,1,1,
,,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005526559.1,U_TG_Cr,U_TG_Cr,0.1,20.3,2,55,1,1,1,
,,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005526559.1,U_TG_Cr,U_TG_Cr,0.1,20.3,18,85,1,0,1,
,,Acinetobacter baumannii MDR-ZJ06,0,0,NC_017171,YP_005526559.1,U_TG_Cr,U_TG_Cr,0.1,20.3,69,151,0,0,0,
,,Amycolatopsis mediterranei S699,0,0,NC_017186,YP_005530314.1,TG_Fam1,TG_Fam1,6.8,15.2,87,126,0,0,0,
,,Amycolatopsis mediterranei S699,0,0,NC_017186,YP_005532641.1,U_Phage_TAC_1,U_Phage_TAC_1,4,15.8,192,252,0,1,1,
,,Amycolatopsis mediterranei S699,0,0,NC_017186,YP_005532863.1,TG_Fam4,TG_Fam4,3.60E-38,138,25,116,1,0,1,
,,Amycolatopsis mediterranei S699,0,0,NC_017186,YP_005532863.1,TG_Fam1,TG_Fam1,0.26,19.8,75,143,0,1,1,
,,Arcobacter butzleri ED-1,0,0,NC_017187,YP_005539223.1,TH_Fam3,TH_Fam3,1.8,16.5,147,208,1,0,1,
,,Arcobacter butzleri ED-1,0,0,NC_017187,YP_005539223.1,TH_Fam3,TH_Fam3,1.8,16.5,247,371,0,1,1,
,,Bacillus amyloliquefaciens TA208,0,0,NC_017188,YP_005539914.1,TG_Fam1,TG_Fam1,2.9,16.4,3,21,1,0,1,
,,Bacillus amyloliquefaciens TA208,0,0,NC_017188,YP_005539914.1,TG_Fam1,TG_Fam1,2.9,16.4,24,37,0,0,0,
,,Bacillus amyloliquefaciens TA208,0,0,NC_017188,YP_005541820.1,XkdN,XkdN,2.20E-38,139.6,10,147,0,0,0,
,,Bacillus amyloliquefaciens TA208,0,0,NC_017188,YP_005542117.1,XkdN,XkdN,3.6,15.8,115,213,0,0,0,
,,Bacillus amyloliquefaciens TA208,0,0,NC_017188,YP_005542715.1,TH_Fam3,TH_Fam3,0.0011,26.9,8,111,0,0,0,
,,Bacillus amyloliquefaciens TA208,0,0,NC_017188,YP_005543054.1,DUF3647,DUF3647,4.3,15.9,141,259,0,1,1,
,,Bacillus amyloliquefaciens LL3,0,0,NC_017190,YP_005544016.1,TG_Fam1,TG_Fam1,2.9,16.4,3,21,1,0,1,
,,Bacillus amyloliquefaciens LL3,0,0,NC_017190,YP_005544016.1,TG_Fam1,TG_Fam1,2.9,16.4,24,37,0,0,0,
,,Bacillus amyloliquefaciens LL3,0,0,NC_017190,YP_005544405.1,DUF3647,DUF3647,1.40E-24,94.9,3,117,0,0,0,
,,Bacillus amyloliquefaciens LL3,0,0,NC_017190,YP_005545134.1,XkdN,XkdN,2.20E-38,139.6,10,147,0,0,0,
,,Bacillus amyloliquefaciens LL3,0,0,NC_017190,YP_005546347.1,XkdN,XkdN,3.6,15.8,115,213,0,0,0,
,,Bacillus amyloliquefaciens LL3,0,0,NC_017190,YP_005547249.1,DUF3647,DUF3647,4.3,15.9,141,259,0,1,1,
,,Bacillus amyloliquefaciens XH7,0,0,NC_017191,YP_005548236.1,TG_Fam1,TG_Fam1,2.9,16.4,3,21,1,0,1,
,,Bacillus amyloliquefaciens XH7,0,0,NC_017191,YP_005548236.1,TG_Fam1,TG_Fam1,2.9,16.4,24,37,0,0,0,
,,Bacillus amyloliquefaciens XH7,0,0,NC_017191,YP_005550189.1,XkdN,XkdN,2.20E-38,139.6,10,147,0,0,0,
,,Bacillus amyloliquefaciens XH7,0,0,NC_017191,YP_005550485.1,XkdN,XkdN,3.6,15.8,115,213,0,0,0,
,,Bacillus amyloliquefaciens XH7,0,0,NC_017191,YP_005551104.1,TH_Fam3,TH_Fam3,0.0011,26.9,8,111,0,0,0,
,,Bacillus amyloliquefaciens XH7,0,0,NC_017191,YP_005551442.1,DUF3647,DUF3647,4.3,15.9,141,259,0,1,1,
,,Arcobacter sp. L,0,0,NC_017192,YP_005553869.1,TG_Fam1,TG_Fam1,9.1,14.8,5,17,1,0,1,
,,Arcobacter sp. L,0,0,NC_017192,YP_005553869.1,TG_Fam1,TG_Fam1,9.1,14.8,22,35,0,0,0,
,,Arcobacter sp. L,0,0,NC_017192,YP_005554076.1,FluMu_gp41,FluMu_gp41,0.00000048,38,2,70,0,0,0,
,,Thermus thermophilus HB27,0,0,NC_005835,YP_005555.1,TIGR02216,TIGR02216,3,16.2,160,223,0,0,0,
,,Bacillus subtilis subsp. subtilis str. RO-NN-1,0,0,NC_017195,YP_005555517.1,XkdN,XkdN,1,17.6,98,206,0,0,0,
,,Bacillus subtilis subsp. subtilis str. RO-NN-1,0,0,NC_017195,YP_005556369.1,XkdN,XkdN,1.90E-39,143,10,147,0,0,0,
,,Bacillus subtilis subsp. subtilis str. RO-NN-1,0,0,NC_017195,YP_005557401.1,XkdN,XkdN,0.44,18.7,115,215,0,0,0,
,,Bacillus subtilis subsp. natto BEST195,0,0,NC_017196,YP_005560566.1,XkdN,XkdN,2.40E-39,142.7,10,147,0,0,0,
,,Bacillus subtilis subsp. natto BEST195,0,0,NC_017196,YP_005561614.1,XkdN,XkdN,0.43,18.8,115,214,0,0,0,
,,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005564072.1,TG_Fam3,TG_Fam3,3.50E-20,80.5,1,118,0,1,1,
,,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005567165.1,U_TG_Cr,U_TG_Cr,8.5,14.1,19,95,1,0,1,
,,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005567165.1,U_TG_Cr,U_TG_Cr,8.5,14.1,113,176,0,1,1,
,,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005567739.1,XkdN,XkdN,0.92,17.7,116,216,1,0,1,
,,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005567739.1,XkdN,XkdN,0.92,17.7,226,255,0,0,0,
,,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005568124.1,TG_Fam6,TG_Fam6,3.6,16.1,3,86,0,0,0,
,,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005568505.1,TIGR02216,TIGR02216,0.53,18.6,14,59,0,0,0,
,,Bacillus thuringiensis serovar finitimus YBT-020,0,0,NC_017200,YP_005568506.1,TG_Fam5,TG_Fam5,0,217.2,1,128,0,0,0,
,,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005571822.1,DUF3647,DUF3647,3.30E-16,67.9,8,110,0,1,1,
,,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005573283.1,TG_Fam1,TG_Fam1,0.39,19.2,3,17,1,0,1,
,,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005573283.1,TG_Fam1,TG_Fam1,0.39,19.2,19,40,0,0,0,
,,Bacillus thuringiensis serovar chinensis CT-43,0,0,NC_017208,YP_005573713.1,TG_Fam3,TG_Fam3,1.50E-21,85,1,123,0,1,1,
