,,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,,31
,,Escherichia coli O55:H7 str. CB9615,homo sapiens,0,NC_013941,YP_003500726.1,TT_Fam2,TT_Fam2,0.0000012,36.9,82,148,1,0,1,
,,Escherichia coli O55:H7 str. CB9615,homo sapiens,0,NC_013941,YP_003500726.1,TT_Fam4,TT_Fam4,0.003,25.6,11,142,0,1,1,
,,Escherichia coli O55:H7 str. CB9615,homo sapiens,0,NC_013941,YP_003502614.1,Phage_tail_2,Phage_tail_2,9.6,14.7,56,175,1,1,1,
,,Escherichia coli O55:H7 str. CB9615,homo sapiens,0,NC_013941,YP_003502614.1,Phage_tail_2,Phage_tail_2,9.6,14.7,155,256,1,1,1,
,,Escherichia coli O55:H7 str. CB9615,homo sapiens,0,NC_013941,YP_003502614.1,CF-HK97,CF-HK97,0.0047,24.8,16,164,1,1,1,
,,Escherichia coli O55:H7 str. CB9615,homo sapiens,0,NC_013941,YP_003502614.1,CF-HK97,CF-HK97,0.0047,24.8,203,255,1,0,1,
,,Escherichia coli O55:H7 str. CB9615,homo sapiens,0,NC_013941,YP_003502614.1,TT_Fam1,TT_Fam1,0,343.1,11,256,0,1,1,
,,Stackebrandtia nassauensis DSM 44728,0,0,NC_013947,YP_003512974.1,TT_Fam6,TT_Fam6,0.00071,27.9,2,166,1,0,1,
,,Stackebrandtia nassauensis DSM 44728,0,0,NC_013947,YP_003512974.1,TT_Fam8,TT_Fam8,0,173.4,1,176,0,0,0,
,,Pantoea ananatis LMG 20103,Eucalyptus,0,NC_013956,YP_003521432.1,Phage_tube,Phage_tube,0,219.4,2,171,0,0,0,
,,Pantoea ananatis LMG 20103,Eucalyptus,0,NC_013956,YP_003521697.1,Phage_tube,Phage_tube,0,211.1,2,169,0,0,0,
,,Sideroxydans lithotrophicus ES-1,0,0,NC_013959,YP_003522865.1,TT_Fam17,TT_Fam17,0,166.7,1,123,0,0,0,
,,Nitrosococcus halophilus Nc4,0,0,NC_013960,YP_003526565.1,TT_Fam3,TT_Fam3,4.90E-25,97,1,229,0,0,0,
,,Erwinia amylovora CFBP1430,0,0,NC_013961,YP_003532710.1,DUF2001,DUF2001,1.6,16.9,19,74,0,0,0,
,,Erwinia amylovora ATCC 49946,0,0,NC_013971,YP_003540231.1,DUF2001,DUF2001,1.6,16.9,19,74,0,0,0,
,,Sphingobium japonicum UT26S,0,0,NC_014006,YP_003544303.1,TT_Fam14,TT_Fam14,0.12,19.9,99,302,0,1,1,
,,Sphingobium japonicum UT26S,0,0,NC_014006,YP_003544677.1,Phage_tail_2,Phage_tail_2,5.90E-26,99.6,3,134,1,0,1,
,,Sphingobium japonicum UT26S,0,0,NC_014006,YP_003544677.1,TIGR02126,TIGR02126,0.000027,32.5,1,130,0,0,0,
,,Aminobacterium colombiense DSM 12261,0,0,NC_014011,YP_003553961.1,Phage_tube,Phage_tube,8.20E-33,121.7,4,174,0,1,1,
,,Sphingobium japonicum UT26S,0,0,NC_014013,YP_003559421.1,Tail_tube,Tail_tube,5.5,15.2,232,272,1,0,1,
,,Sphingobium japonicum UT26S,0,0,NC_014013,YP_003559421.1,Tail_tube,Tail_tube,5.5,15.2,312,360,0,0,0,
,,Yersinia pestis Z176003,0,0,NC_014029,YP_003567313.1,Tail_tube,Tail_tube,1.60E-39,142.8,4,122,0,1,1,
,,Yersinia pestis Z176003,0,0,NC_014029,YP_003567891.1,CF-HK97,CF-HK97,0,164.7,52,218,1,1,1,
,,Yersinia pestis Z176003,0,0,NC_014029,YP_003567891.1,TT_Fam4,TT_Fam4,0.018,23.1,6,189,1,0,1,
,,Yersinia pestis Z176003,0,0,NC_014029,YP_003567891.1,TT_Fam1,TT_Fam1,0.000000053,40.8,190,306,0,0,0,
,,Yersinia pestis Z176003,0,0,NC_014029,YP_003567896.1,TT_Fam1,TT_Fam1,0.000000026,41.8,299,401,0,1,1,
,,Prevotella ruminicola 23,0,0,NC_014033,YP_003574547.1,Tail_tube,Tail_tube,9.8,14.4,3,37,1,1,1,
,,Prevotella ruminicola 23,0,0,NC_014033,YP_003574547.1,Tail_tube,Tail_tube,9.8,14.4,34,69,1,0,1,
,,Prevotella ruminicola 23,0,0,NC_014033,YP_003574547.1,Tail_tube,Tail_tube,9.8,14.4,103,146,0,1,1,
,,Rhodobacter capsulatus SB 1003,0,0,NC_014034,YP_003577100.1,TT_Fam9,TT_Fam9,2.4,16.6,177,310,1,0,1,
,,Rhodobacter capsulatus SB 1003,0,0,NC_014034,YP_003577100.1,TT_Fam5,TT_Fam5,0.00000031,39,196,309,0,0,0,
,,Rhodobacter capsulatus SB 1003,0,0,NC_014034,YP_003577141.1,TT_Fam14,TT_Fam14,0,383,4,308,0,0,0,
,,Rhodobacter capsulatus SB 1003,0,0,NC_014034,YP_003577565.1,TT_Fam5,TT_Fam5,0.00014,30.5,195,293,0,1,1,
,,Rhodobacter capsulatus SB 1003,0,0,NC_014034,YP_003577843.1,Phage_tail_2,Phage_tail_2,3.60E-39,142.4,3,134,1,0,1,
,,Rhodobacter capsulatus SB 1003,0,0,NC_014034,YP_003577843.1,TIGR02126,TIGR02126,6.90E-24,92.7,1,130,0,0,0,
,,Rhodobacter capsulatus SB 1003,0,0,NC_014034,YP_003578144.1,TT_Fam2,TT_Fam2,3.5,15.8,6,91,0,0,0,
,,Rhodobacter capsulatus SB 1003,0,0,NC_014034,YP_003579048.1,TT_Fam14,TT_Fam14,0,341.4,4,321,0,0,0,
,,Klebsiella phage KP15,Klebsiella pneumoniae,neg,NC_014036,YP_003579966.1,Phage_T4_gp19,Phage_T4_gp19,0.000000048,41.2,127,256,0,0,0,
,,Klebsiella phage KP15,Klebsiella pneumoniae,neg,NC_014036,YP_003580027.1,Phage_T4_gp19,Phage_T4_gp19,0.000000071,40.6,11,161,0,0,0,
,,Klebsiella phage KP15,Klebsiella pneumoniae,neg,NC_014036,YP_003580053.1,Phage_T4_gp19,Phage_T4_gp19,0,50.3,16,161,0,0,0,
,,Zunongwangia profunda SM-A87,0,0,NC_014041,YP_003586074.1,Phage_tail_2,Phage_tail_2,9.8,14.7,54,187,0,1,1,
,,Caulobacter segnis ATCC 21756,0,0,NC_014100,YP_003592115.1,Phage_tail_2,Phage_tail_2,8.30E-39,141.2,3,135,1,0,1,
,,Caulobacter segnis ATCC 21756,0,0,NC_014100,YP_003592115.1,TIGR02126,TIGR02126,8.40E-34,124.8,1,131,0,0,0,
,,Caulobacter segnis ATCC 21756,0,0,NC_014100,YP_003594989.1,TT_Fam4,TT_Fam4,0.0055,24.8,195,319,0,1,1,
,,Lactobacillus crispatus ST1,0,0,NC_014106,YP_003601401.1,TT_Fam12,TT_Fam12,5.4,14.9,26,90,1,0,1,
,,Lactobacillus crispatus ST1,0,0,NC_014106,YP_003601401.1,TT_Fam12,TT_Fam12,5.4,14.9,127,188,0,0,0,
,,Enterobacter cloacae subsp. cloacae ATCC 13047,0,0,NC_014121,YP_003611848.1,TT_Fam1,TT_Fam1,0.0000021,35.5,117,211,0,1,1,
,,Enterobacter cloacae subsp. cloacae ATCC 13047,0,0,NC_014121,YP_003612214.1,CF-HK97,CF-HK97,0.26,19.2,17,154,1,0,1,
,,Enterobacter cloacae subsp. cloacae ATCC 13047,0,0,NC_014121,YP_003612214.1,TT_Fam1,TT_Fam1,0,405.5,1,245,0,0,0,
,,Enterobacter cloacae subsp. cloacae ATCC 13047,0,0,NC_014121,YP_003613333.1,DUF2597,DUF2597,0,202.1,8,141,0,1,1,
,,Enterobacter cloacae subsp. cloacae ATCC 13047,0,0,NC_014121,YP_003613672.1,Phage_tail_2,Phage_tail_2,6.1,15.4,11,153,1,1,1,
,,Enterobacter cloacae subsp. cloacae ATCC 13047,0,0,NC_014121,YP_003613672.1,TT_Fam7,TT_Fam7,0.0007,27.9,16,155,1,1,1,
,,Enterobacter cloacae subsp. cloacae ATCC 13047,0,0,NC_014121,YP_003613672.1,TT_Fam7,TT_Fam7,0.0007,27.9,149,202,1,0,1,
,,Enterobacter cloacae subsp. cloacae ATCC 13047,0,0,NC_014121,YP_003613672.1,TT_Fam1,TT_Fam1,0,62.1,116,247,0,0,0,
,,Enterobacter cloacae subsp. cloacae ATCC 13047,0,0,NC_014121,YP_003614037.1,TT_Fam13,TT_Fam13,2.10E-17,71.3,1,111,0,0,0,
,,Enterobacter cloacae subsp. cloacae ATCC 13047,0,0,NC_014121,YP_003614884.1,Phage_tube,Phage_tube,0,220.8,2,171,0,0,0,
,,Leuconostoc kimchii IMSNU 11154,0,0,NC_014136,YP_003620864.1,Phage_tail,Phage_tail,0,201.4,1,206,0,0,0,
,,Leuconostoc kimchii IMSNU 11154,0,0,NC_014136,YP_003622450.1,TT_Fam7,TT_Fam7,1.50E-37,137.2,2,152,0,1,1,
,,Thiomonas sp. 3As,0,0,NC_014145,YP_003624446.1,TT_Fam2,TT_Fam2,0.0004,28.7,19,123,1,0,1,
,,Thiomonas sp. 3As,0,0,NC_014145,YP_003624446.1,TT_Fam4,TT_Fam4,0.014,23.5,15,154,0,1,1,
,,Moraxella catarrhalis RH4,0,0,NC_014147,YP_003627110.1,TT_Fam5,TT_Fam5,0.00000012,40.3,32,161,1,0,1,
,,Moraxella catarrhalis RH4,0,0,NC_014147,YP_003627110.1,TT_Fam5,TT_Fam5,0.00000012,40.3,191,299,0,1,1,
,,Planctomyces limnophilus DSM 3776,0,0,NC_014148,YP_003628131.1,DUF2001,DUF2001,1.6,16.9,105,178,1,0,1,
,,Planctomyces limnophilus DSM 3776,0,0,NC_014148,YP_003628131.1,DUF2001,DUF2001,1.6,16.9,339,381,0,0,0,
,,Cellulomonas flavigena DSM 20109,0,0,NC_014151,YP_003637351.1,Phage_T4_gp19,Phage_T4_gp19,4.80E-22,86.5,11,147,0,0,0,
,,Cellulomonas flavigena DSM 20109,0,0,NC_014151,YP_003637355.1,Phage_T4_gp19,Phage_T4_gp19,4.90E-26,99.4,15,146,0,0,0,
,,Thermincola potens JR,0,0,NC_014152,YP_003638866.1,TT_Fam18,TT_Fam18,6.5,14.8,8,100,0,0,0,
,,Segniliparus rotundus DSM 44985,Homo sapiens,0,NC_014168,YP_003657396.1,TT_Fam6,TT_Fam6,0.0000000018,46.2,17,205,0,0,0,
,,Bacillus thuringiensis BMB171,0,0,NC_014171,YP_003663625.1,TT_Fam1,TT_Fam1,0.011,23.3,1,80,0,0,0,
,,Bacillus thuringiensis BMB171,0,0,NC_014171,YP_003664876.1,TIGR01603,TIGR01603,5.80E-35,129,5,192,0,1,1,
,,Geobacillus sp. C56-T3,0,0,NC_014206,YP_003669921.1,TT_Fam9,TT_Fam9,0.2,20,167,309,1,0,1,
,,Geobacillus sp. C56-T3,0,0,NC_014206,YP_003669921.1,TT_Fam5,TT_Fam5,0.81,18.3,129,308,0,1,1,
,,Geobacillus sp. C56-T3,0,0,NC_014206,YP_003671542.1,TT_Fam7,TT_Fam7,8.9,14.6,6,82,1,0,1,
,,Geobacillus sp. C56-T3,0,0,NC_014206,YP_003671542.1,TT_Fam7,TT_Fam7,8.9,14.6,148,181,0,0,0,
,,Geobacillus sp. C56-T3,0,0,NC_014206,YP_003672650.1,Tail_tube,Tail_tube,2.1,16.5,96,164,0,0,0,
,,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,Homo sapiens,0,NC_014210,YP_003678514.1,Phage_tail_2,Phage_tail_2,9.7,14.7,35,156,0,1,1,
,,Meiothermus silvanus DSM 9946,0,0,NC_014212,YP_003684615.1,TT_Fam15,TT_Fam15,0.041,22.1,5,139,1,0,1,
,,Meiothermus silvanus DSM 9946,0,0,NC_014212,YP_003684615.1,TT_Fam15,TT_Fam15,0.041,22.1,193,262,0,0,0,
,,Starkeya novella DSM 506,0,0,NC_014217,YP_003691978.1,Phage_tail_2,Phage_tail_2,1.00E-19,79.4,6,142,0,1,1,
,,Starkeya novella DSM 506,0,0,NC_014217,YP_003692661.1,Phage_tail_2,Phage_tail_2,5.00E-36,132.2,3,132,1,0,1,
,,Starkeya novella DSM 506,0,0,NC_014217,YP_003692661.1,TIGR02126,TIGR02126,2.50E-31,116.8,1,128,0,1,1,
,,Arcanobacterium haemolyticum DSM 20595,0,0,NC_014218,YP_003697855.1,Phage_tail,Phage_tail,7.9,14,35,171,1,0,1,
,,Arcanobacterium haemolyticum DSM 20595,0,0,NC_014218,YP_003697855.1,TIGR01603,TIGR01603,8.40E-30,112.2,1,194,0,1,1,
,,Bacillus selenitireducens MLS10,0,0,NC_014219,YP_003698893.1,Phage_tail,Phage_tail,0.11,20.1,1,186,1,0,1,
,,Bacillus selenitireducens MLS10,0,0,NC_014219,YP_003698893.1,TIGR01603,TIGR01603,1.00E-34,128.2,1,184,0,1,1,
,,Bacillus selenitireducens MLS10,0,0,NC_014219,YP_003701046.1,Phage_tail,Phage_tail,0.93,17.1,1,186,1,0,1,
,,Bacillus selenitireducens MLS10,0,0,NC_014219,YP_003701046.1,TIGR01603,TIGR01603,7.90E-34,125.3,1,184,0,1,1,
,,Truepera radiovictrix DSM 17093,0,0,NC_014221,YP_003705461.1,TIGR01603,TIGR01603,5.7,14.9,57,102,1,1,1,
,,Truepera radiovictrix DSM 17093,0,0,NC_014221,YP_003705461.1,TIGR01603,TIGR01603,5.7,14.9,131,196,1,0,1,
,,Truepera radiovictrix DSM 17093,0,0,NC_014221,YP_003705461.1,TIGR01603,TIGR01603,5.7,14.9,191,267,0,0,0,
,,Truepera radiovictrix DSM 17093,0,0,NC_014221,YP_003706000.1,TT_Fam6,TT_Fam6,6.6,15,2,80,0,0,0,
,,Xenorhabdus nematophila ATCC 19061,0,0,NC_014228,YP_003711483.1,Phage_tube,Phage_tube,0,237.6,2,171,0,0,0,
,,Xenorhabdus nematophila ATCC 19061,0,0,NC_014228,YP_003713232.1,Phage_tube,Phage_tube,0,241.6,2,171,0,0,0,
,,Xenorhabdus nematophila ATCC 19061,0,0,NC_014228,YP_003713551.1,Tail_tube,Tail_tube,5.90E-27,102.2,1,119,0,1,1,
,,Streptomyces phage phiSASD1,Streptomyces avermitilis,pos,NC_014229,YP_003714741.1,Phage_tail_2,Phage_tail_2,0.0034,25.9,8,136,1,0,1,
,,Streptomyces phage phiSASD1,Streptomyces avermitilis,pos,NC_014229,YP_003714741.1,TT_Fam2,TT_Fam2,0.14,20.3,3,137,0,0,0,
,,Mobiluncus curtisii ATCC 43063,0,0,NC_014246,YP_003719044.1,TIGR01603,TIGR01603,8.70E-30,112.1,1,194,0,0,0,
,,Mobiluncus curtisii ATCC 43063,0,0,NC_014246,YP_003719119.1,Phage_tail,Phage_tail,4.7,14.8,2,42,0,0,0,
,,Enterobacteria phage IME08,Escherichia coli strain 8099,neg,NC_014260,YP_003734287.1,Phage_T4_gp19,Phage_T4_gp19,0,55.3,67,221,0,0,0,
,,Enterobacteria phage IME08,Escherichia coli strain 8099,neg,NC_014260,YP_003734308.1,Phage_T4_gp19,Phage_T4_gp19,0.00000000014,49.4,21,167,0,0,0,
,,Enterobacteria phage IME08,Escherichia coli strain 8099,neg,NC_014260,YP_003734336.1,Phage_T4_gp19,Phage_T4_gp19,0.00000023,38.9,129,252,0,0,0,
,,Erwinia billingiae Eb661,0,0,NC_014306,YP_003739516.1,Phage_tube,Phage_tube,0,188.2,2,170,0,0,0,
,,Erwinia billingiae Eb661,0,0,NC_014306,YP_003740494.1,Phage_tube,Phage_tube,0,218.8,2,171,0,0,0,
,,Ralstonia solanacearum CFBP2957,0,0,NC_014307,YP_003745630.1,Phage_tube,Phage_tube,0,182.2,6,174,0,1,1,
,,Ralstonia solanacearum CFBP2957,0,0,NC_014307,YP_003746143.1,CF-HK97,CF-HK97,0,220.5,51,216,1,0,1,
,,Ralstonia solanacearum CFBP2957,0,0,NC_014307,YP_003746143.1,TT_Fam4,TT_Fam4,0.00018,29.7,4,150,0,1,1,
,,Ralstonia solanacearum PSI07,0,0,NC_014311,YP_003750946.1,TT_Fam3,TT_Fam3,1.00E-41,151.6,1,237,1,0,1,
,,Ralstonia solanacearum PSI07,0,0,NC_014311,YP_003750946.1,TT_Fam15,TT_Fam15,9.5,14.4,33,112,0,0,0,
,,Ralstonia solanacearum PSI07,0,0,NC_014311,YP_003753949.1,TT_Fam3,TT_Fam3,1.5,16.9,8,147,0,1,1,
,,Hyphomicrobium denitrificans ATCC 51888,0,0,NC_014313,YP_003755251.1,Phage_tail_2,Phage_tail_2,3.20E-38,139.3,3,134,1,0,1,
,,Hyphomicrobium denitrificans ATCC 51888,0,0,NC_014313,YP_003755251.1,TIGR02126,TIGR02126,3.90E-30,113,1,130,0,0,0,
,,Hyphomicrobium denitrificans ATCC 51888,0,0,NC_014313,YP_003755361.1,Tail_tube,Tail_tube,0.65,18.2,1,120,0,0,0,
,,Dehalogenimonas lykanthroporepellens BL-DC-9,0,0,NC_014314,YP_003759255.1,Phage_T4_gp19,Phage_T4_gp19,1.00E-22,88.6,12,153,0,0,0,
,,Amycolatopsis mediterranei U32,0,0,NC_014318,YP_003767005.1,Phage_T4_gp19,Phage_T4_gp19,8.50E-27,101.9,8,142,0,0,0,
,,Amycolatopsis mediterranei U32,0,0,NC_014318,YP_003767009.1,Phage_T4_gp19,Phage_T4_gp19,3.60E-29,109.5,10,145,0,1,1,
,,Leuconostoc gasicomitatum LMG 18811,0,0,NC_014319,YP_003773049.1,Phage_tail_2,Phage_tail_2,3.90E-20,80.7,10,154,1,0,1,
,,Leuconostoc gasicomitatum LMG 18811,0,0,NC_014319,YP_003773049.1,TIGR02126,TIGR02126,2.90E-22,87.5,8,149,0,0,0,
,,Herbaspirillum seropedicae SmR1,0,0,NC_014323,YP_003773653.1,Phage_tube,Phage_tube,7.01E-45,161.1,6,174,0,0,0,
,,Herbaspirillum seropedicae SmR1,0,0,NC_014323,YP_003774313.1,Phage_tube,Phage_tube,0,213.7,2,169,0,0,0,
,,Herbaspirillum seropedicae SmR1,0,0,NC_014323,YP_003777470.1,TT_Fam4,TT_Fam4,4.9,15.1,100,169,0,1,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003778548.1,Phage_tail,Phage_tail,0.011,23.4,43,183,1,0,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003778548.1,TIGR01603,TIGR01603,8.00E-34,125.3,7,188,0,1,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780395.1,TT_Fam1,TT_Fam1,0.00000035,38.1,494,591,1,0,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780395.1,TT_Fam1,TT_Fam1,0.00000035,38.1,592,684,0,1,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780396.1,TT_Fam1,TT_Fam1,0,57,307,411,1,1,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780396.1,TT_Fam1,TT_Fam1,0,57,524,619,1,1,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780396.1,TT_Fam1,TT_Fam1,0,57,602,712,1,0,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780396.1,TT_Fam1,TT_Fam1,0,57,778,904,0,1,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780398.1,TT_Fam1,TT_Fam1,0.0000000002,48.7,533,646,1,1,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780398.1,TT_Fam1,TT_Fam1,0.0000000002,48.7,642,732,1,1,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780398.1,TT_Fam1,TT_Fam1,0.0000000002,48.7,970,1022,1,0,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780398.1,TT_Fam1,TT_Fam1,0.0000000002,48.7,1021,1113,0,1,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780401.1,TT_Fam1,TT_Fam1,3.40E-17,70.9,231,331,1,1,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780401.1,TT_Fam1,TT_Fam1,3.40E-17,70.9,438,534,1,1,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780401.1,TT_Fam1,TT_Fam1,3.40E-17,70.9,513,622,1,0,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780401.1,TT_Fam1,TT_Fam1,3.40E-17,70.9,628,718,0,0,0,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780404.1,TT_Fam1,TT_Fam1,0.083,20.5,824,935,0,0,0,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780407.1,TT_Fam1,TT_Fam1,0.022,22.4,829,941,0,1,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780959.1,TT_Fam10,TT_Fam10,1.8,16.8,148,250,1,0,1,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003780959.1,TT_Fam10,TT_Fam10,1.8,16.8,367,447,0,0,0,
,,Clostridium ljungdahlii DSM 13528,0,0,NC_014328,YP_003781797.1,L_lac_phage_MSP,L_lac_phage_MSP,7.1,14.2,228,272,0,0,0,
,,Corynebacterium pseudotuberculosis FRC41,0,0,NC_014329,YP_003783222.1,TT_Fam5,TT_Fam5,8,15.1,16,122,0,0,0,
,,Brachyspira pilosicoli 95/1000,Sus scrofa,0,NC_014330,YP_003785314.1,TT_Fam17,TT_Fam17,8.8,14.5,30,104,0,0,0,
,,Lactobacillus casei str. Zhang,0,0,NC_014334,YP_003789601.1,TT_Fam12,TT_Fam12,4.6,15.1,34,85,0,0,0,
,,Bacillus cereus biovar anthracis str. CI,0,0,NC_014335,YP_003791087.1,TT_Fam1,TT_Fam1,0.0000013,36.3,7,126,0,0,0,
,,Candidatus Nitrospira defluvii,0,0,NC_014355,YP_003795823.1,TT_Fam3,TT_Fam3,0,167.2,1,230,0,0,0,
,,Candidatus Nitrospira defluvii,0,0,NC_014355,YP_003797861.1,Phage_T4_gp19,Phage_T4_gp19,4.70E-38,138.3,15,157,0,0,0,
,,Olsenella uli DSM 7084,Homo sapiens,0,NC_014363,YP_003800079.1,TT_Fam21,TT_Fam21,4,15.3,30,88,0,0,0,
,,Desulfarculus baarsii DSM 2075,0,0,NC_014365,YP_003807545.1,Phage_tube,Phage_tube,4.00E-30,112.9,6,175,0,0,0,
,,Desulfarculus baarsii DSM 2075,0,0,NC_014365,YP_003807759.1,Phage_T4_gp19,Phage_T4_gp19,1.00E-22,88.6,12,153,0,1,1,
,,Desulfarculus baarsii DSM 2075,0,0,NC_014365,YP_003809234.1,TT_Fam5,TT_Fam5,0.067,21.8,107,162,1,0,1,
,,Desulfarculus baarsii DSM 2075,0,0,NC_014365,YP_003809234.1,TT_Fam5,TT_Fam5,0.067,21.8,208,314,0,0,0,
,,Brevundimonas subvibrioides ATCC 15264,0,0,NC_014375,YP_003817012.1,TT_Fam5,TT_Fam5,0.19,20.3,309,424,0,1,1,
,,Brevundimonas subvibrioides ATCC 15264,0,0,NC_014375,YP_003817580.1,TT_Fam23,TT_Fam23,1.5,16.9,69,179,1,0,1,
,,Brevundimonas subvibrioides ATCC 15264,0,0,NC_014375,YP_003817580.1,TT_Fam23,TT_Fam23,1.5,16.9,191,262,0,1,1,
,,Brevundimonas subvibrioides ATCC 15264,0,0,NC_014375,YP_003818197.1,Phage_tail_2,Phage_tail_2,1.90E-37,136.8,3,133,1,0,1,
,,Brevundimonas subvibrioides ATCC 15264,0,0,NC_014375,YP_003818197.1,TIGR02126,TIGR02126,1.40E-29,111.2,1,129,0,0,0,
,,Clostridium saccharolyticum WM1,0,0,NC_014376,YP_003820997.1,TIGR01603,TIGR01603,8.40E-32,118.7,4,186,0,0,0,
,,Clostridium saccharolyticum WM1,0,0,NC_014376,YP_003821091.1,Phage_tube,Phage_tube,6.10E-31,115.6,2,170,0,0,0,
,,Clostridium saccharolyticum WM1,0,0,NC_014376,YP_003821625.1,DUF2001,DUF2001,3.50E-31,116.3,1,148,0,0,0,
,,Micromonospora aurantiaca ATCC 27029,0,0,NC_014391,YP_003836631.1,Phage_T4_gp19,Phage_T4_gp19,2.40E-35,129.6,17,148,0,0,0,
,,Caldicellulosiruptor obsidiansis OB47,0,0,NC_014392,YP_003841155.1,TT_Fam1,TT_Fam1,0.0061,24.2,281,364,0,0,0,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003841765.1,TT_Fam22,TT_Fam22,0,186.3,1,152,0,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842323.1,Phage_tail,Phage_tail,0.067,20.8,32,171,1,0,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842323.1,TIGR01603,TIGR01603,2.80E-43,156.1,2,188,0,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842511.1,TT_Fam1,TT_Fam1,0.000069,30.6,175,284,1,0,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842511.1,TT_Fam1,TT_Fam1,0.000069,30.6,281,371,0,0,0,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842540.1,TT_Fam1,TT_Fam1,0.69,17.5,202,295,0,0,0,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842541.1,TT_Fam1,TT_Fam1,0.081,20.5,200,291,0,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842730.1,TT_Fam1,TT_Fam1,0.00003,31.7,370,460,1,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842730.1,TT_Fam1,TT_Fam1,0.00003,31.7,459,543,1,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842730.1,TT_Fam1,TT_Fam1,0.00003,31.7,534,628,1,0,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842730.1,TT_Fam1,TT_Fam1,0.00003,31.7,620,712,0,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842731.1,TT_Fam1,TT_Fam1,0,49.8,357,460,1,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842731.1,TT_Fam1,TT_Fam1,0,49.8,458,544,1,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842731.1,TT_Fam1,TT_Fam1,0,49.8,533,628,1,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842731.1,TT_Fam1,TT_Fam1,0,49.8,622,713,1,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842731.1,TT_Fam1,TT_Fam1,0,49.8,709,796,1,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842731.1,TT_Fam1,TT_Fam1,0,49.8,790,881,1,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842731.1,TT_Fam1,TT_Fam1,0,49.8,879,964,1,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842731.1,TT_Fam1,TT_Fam1,0,49.8,960,1047,1,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842731.1,TT_Fam1,TT_Fam1,0,49.8,1019,1131,1,0,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003842731.1,TT_Fam1,TT_Fam1,0,49.8,1123,1216,0,1,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003843908.1,Phage_tail,Phage_tail,0.0029,25.2,39,180,1,0,1,
,,Clostridium cellulovorans 743B,0,0,NC_014393,YP_003843908.1,TIGR01603,TIGR01603,3.60E-21,84,4,184,0,0,0,
