Species,Host,GC,Gstain,Prot RefSeq,Hmm ID,Name,E value,Score,Start,Stop,Duplicate,DD,
Prochlorococcus phage P-SSM4,0,neg,NC_006884,YP_004030760.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,7.80E-25,94.7,1,57,0,1,1
Lactobacillus amylovorus GRL 1112,0,0,NC_014724,YP_004031901.1,U_RealTestIII,U_RealTestIII,4.40E-30,113.5,9,318,1,0,1
Lactobacillus amylovorus GRL 1112,0,0,NC_014724,YP_004031901.1,U_RealTestIII,U_RealTestIII,4.40E-30,113.5,411,485,0,0,0
Lactobacillus amylovorus GRL 1112,0,0,NC_014724,YP_004032240.1,Phage_Gp15,Phage_Gp15,1.00E-33,124.9,3,177,0,0,0
Methylovorus sp. MP688,0,0,NC_014733,YP_004039002.1,TH_Fam6,TH_Fam6,4,16.1,2,67,0,0,0
Riemerella anatipestifer ATCC 11845 = DSM 15868,Anas platyrhynchos,0,NC_014738,YP_004044810.1,TIGR01715,TIGR01715,2.1,16.8,140,198,0,0,0
Neisseria lactamica 020-06,0,0,NC_014752,YP_004047955.1,Phage_P2_GpE,Phage_P2_GpE,0.00061,27.5,1,36,0,1,1
Enterobacteria phage vB_EcoM-VR7,Escherichia coli,neg,NC_014792,YP_004063887.1,TH_Fam1,TH_Fam1,0.000068,30.8,210,248,1,1,1
Enterobacteria phage vB_EcoM-VR7,Escherichia coli,neg,NC_014792,YP_004063887.1,U_TH_T4,U_TH_T4,1.30E-13,58.6,200,250,1,0,1
Enterobacteria phage vB_EcoM-VR7,Escherichia coli,neg,NC_014792,YP_004063887.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,0.0047,24.9,199,250,0,0,0
Campylobacter jejuni subsp. jejuni ICDCCJ07001,0,0,NC_014802,YP_004066704.1,U_RealTestIII,U_RealTestIII,2.4,15.5,2,200,0,0,0
Campylobacter jejuni subsp. jejuni ICDCCJ07001,0,0,NC_014802,YP_004066897.1,TH_Fam10,TH_Fam10,5.5,15.2,39,89,0,0,0
Helicobacter felis ATCC 49179,0,0,NC_014810,YP_004074067.1,U_RealTestIII,U_RealTestIII,0.025,22,1,209,0,0,0
Micromonospora sp. L5,0,0,NC_014815,YP_004084839.1,TH_Fam4,TH_Fam4,1.2,17.1,24,61,0,0,0
Ethanoligenens harbinense YUAN-3,0,0,NC_014828,YP_004090410.1,U_RealTestIII,U_RealTestIII,0,740,24,483,0,0,0
Ethanoligenens harbinense YUAN-3,0,0,NC_014828,YP_004090422.1,Phage_Gp15,Phage_Gp15,2.30E-18,74.9,11,164,0,0,0
Ethanoligenens harbinense YUAN-3,0,0,NC_014828,YP_004090805.1,Phage_Gp15,Phage_Gp15,2.10E-16,68.5,11,165,0,0,0
Ethanoligenens harbinense YUAN-3,0,0,NC_014828,YP_004090817.1,U_RealTestIII,U_RealTestIII,0,734.6,25,483,0,0,0
Ethanoligenens harbinense YUAN-3,0,0,NC_014828,YP_004091853.1,U_RealTestIII,U_RealTestIII,0,669.2,19,479,0,0,0
Ethanoligenens harbinense YUAN-3,0,0,NC_014828,YP_004092100.1,TH-BCereus,TH-BCereus,1.00E-36,133.1,1,54,0,0,0
Bacillus cellulosilyticus DSM 2522,0,0,NC_014829,YP_004093738.1,TH-BCereus,TH-BCereus,8,15,77,114,0,0,0
Bacillus cellulosilyticus DSM 2522,0,0,NC_014829,YP_004095708.1,TH-BGamma,TH-BGamma,0.076,21.5,1,48,0,1,1
Pantoea sp. At-9b,0,0,NC_014837,YP_004115996.1,U_RealTestIII,U_RealTestIII,0.00000089,36.7,33,243,1,0,1
Pantoea sp. At-9b,0,0,NC_014837,YP_004115996.1,U_RealTestIII,U_RealTestIII,0.00000089,36.7,282,427,0,0,0
Pantoea sp. At-9b,0,0,NC_014837,YP_004117262.1,Phage_P2_GpE,Phage_P2_GpE,1.10E-19,77.9,1,39,0,0,0
Desulfovibrio aespoeensis Aspo-2,0,0,NC_014844,YP_004120228.1,TH_Fam4,TH_Fam4,0.0000032,34.8,1,47,0,0,0
Mycobacterium phage Wee,0,myc,NC_014901,YP_004123834.1,TH_Fam5,TH_Fam5,0,177.9,160,311,0,1,1
Alicycliphilus denitrificans BC,0,0,NC_014910,YP_004125686.1,TH_Fam1,TH_Fam1,2.80E-14,60.8,200,238,1,0,1
Alicycliphilus denitrificans BC,0,0,NC_014910,YP_004125686.1,U_TH_T4,U_TH_T4,6,14.8,201,238,0,0,0
Alicycliphilus denitrificans BC,0,0,NC_014910,YP_004125908.1,Phage_P2_GpE,Phage_P2_GpE,1.10E-16,68.4,1,38,0,0,0
Alicycliphilus denitrificans BC,0,0,NC_014910,YP_004126721.1,DUF1799,DUF1799,1.40E-14,62,10,98,0,0,0
Staphylococcus pseudintermedius HKU10-03,Canis lupus familiaris,0,NC_014925,YP_004148754.1,TH_Fam2,TH_Fam2,0.74,17.9,15,108,0,1,1
Desulfobulbus propionicus DSM 2032,0,0,NC_014972,YP_004196692.1,TH_Fam1,TH_Fam1,4.80E-16,66.5,220,258,1,0,1
Desulfobulbus propionicus DSM 2032,0,0,NC_014972,YP_004196692.1,U_TH_T4,U_TH_T4,0.27,19.1,218,258,0,0,0
Rahnella sp. Y9602,0,0,NC_015061,YP_004211355.1,Phage_P2_GpE,Phage_P2_GpE,2.70E-20,79.8,1,39,0,0,0
Rahnella sp. Y9602,0,0,NC_015061,YP_004211465.1,Phage_P2_GpE,Phage_P2_GpE,4.10E-21,82.5,5,44,0,0,0
Rahnella sp. Y9602,0,0,NC_015061,YP_004212247.1,Phage_P2_GpE,Phage_P2_GpE,2.50E-19,76.8,1,39,0,0,0
Rahnella sp. Y9602,0,0,NC_015061,YP_004212561.1,DUF4035,DUF4035,1.40E-21,83.9,32,84,0,0,0
Rahnella sp. Y9602,0,0,NC_015061,YP_004213689.1,TH_Fam4,TH_Fam4,8,14.4,18,77,0,0,0
Acidovorax avenae subsp. avenae ATCC 19860,0,0,NC_015138,YP_004235974.1,DUF1799,DUF1799,1.60E-27,103.5,11,93,0,0,0
Sphaerochaeta globus str. Buddy,0,0,NC_015152,YP_004248680.1,DUF4035,DUF4035,6.2,14.6,34,63,0,0,0
Vibrio phage ICP2,Vibrio cholerae,neg,NC_015158,YP_004251191.1,U_RealTestIII,U_RealTestIII,3.5,14.9,2,410,0,1,1
Odoribacter splanchnicus DSM 20712,Homo sapiens,0,NC_015160,YP_004251552.1,TH_Fam11,TH_Fam11,9.3,14.6,37,55,1,0,1
Odoribacter splanchnicus DSM 20712,Homo sapiens,0,NC_015160,YP_004251552.1,TH_Fam11,TH_Fam11,9.3,14.6,115,160,0,0,0
Bacteroides salanitronis DSM 18170,chicken,0,NC_015164,YP_004258246.1,TH_Fam6,TH_Fam6,5.5,15.6,4,77,0,0,0
Syntrophobotulus glycolicus DSM 8271,0,0,NC_015172,YP_004264715.1,Phage_Gp15,Phage_Gp15,5.90E-19,76.8,3,169,0,0,0
Pedobacter saltans DSM 12145,0,0,NC_015177,YP_004274524.1,DUF1799,DUF1799,7.1,14.9,150,231,0,0,0
Acidiphilium multivorum AIU301,0,0,NC_015186,YP_004285056.1,U_RealTestIII,U_RealTestIII,1.70E-17,72,30,286,0,0,0
Tsukamurella phage TPA2,Tsukamurella paurometabola,pos,NC_015210,YP_004286250.1,U_RealTestIII,U_RealTestIII,6.60E-19,76.7,52,326,0,0,0
Lactobacillus acidophilus 30SC,0,0,NC_015214,YP_004292363.1,TH_Fam2,TH_Fam2,0.00000037,38.1,1,94,0,0,0
Yersinia enterocolitica subsp. palearctica 105.5R(r),0,0,NC_015224,YP_004297976.1,Phage_P2_GpE,Phage_P2_GpE,2.30E-19,76.9,1,39,0,0,0
Yersinia enterocolitica subsp. palearctica 105.5R(r),0,0,NC_015224,YP_004298695.1,TH_Fam4,TH_Fam4,7,14.6,18,74,0,1,1
Acinetobacter phage 133,Acinetobacter johnsonii,neg,NC_015250,YP_004300773.1,TH_Fam1,TH_Fam1,0.0018,26.2,209,248,1,1,1
Acinetobacter phage 133,Acinetobacter johnsonii,neg,NC_015250,YP_004300773.1,U_TH_T4,U_TH_T4,9.50E-11,49.4,200,249,1,0,1
Acinetobacter phage 133,Acinetobacter johnsonii,neg,NC_015250,YP_004300773.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,0.0025,25.7,199,249,0,1,1
Aeromonas phage 65,Aeromonas salmonicida,neg,NC_015251,YP_004300956.1,U_TH_T4,U_TH_T4,0.004,25,1,24,1,0,1
Aeromonas phage 65,Aeromonas salmonicida,neg,NC_015251,YP_004300956.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,1.1,17.3,1,26,0,0,0
Brochothrix phage NF5,Brochothrix thermosphacta,pos,NC_015252,YP_004301289.1,TH_Fam2,TH_Fam2,1.00E-17,72,7,92,0,0,0
Brochothrix phage BL3,Brochothrix thermosphacta,pos,NC_015254,YP_004301550.1,TH_Fam11,TH_Fam11,2.70E-14,61.2,24,118,0,0,0
Polymorphum gilvum SL003B-26A1,0,0,NC_015259,YP_004302409.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,8.7,14.4,1,39,0,0,0
Clostridium phage phiCD6356,Clostridium difficile,pos,NC_015262,YP_004306114.1,TH-BGamma,TH-BGamma,3.9,16,3,48,0,0,0
Burkholderia phage KS5,Burkholderia cenocepacia strain C6433,neg,NC_015265,YP_004306383.1,Phage_P2_GpE,Phage_P2_GpE,2.10E-16,67.4,105,143,0,0,0
Burkholderia phage KL3,Burkholderia ambifaria strain LMG 17828,neg,NC_015266,YP_004306430.1,Phage_P2_GpE,Phage_P2_GpE,2.30E-16,67.3,121,157,0,0,0
Burkholderia phage KS14,Burkholderia cenocepacia C6433,neg,NC_015273,YP_004306857.1,Phage_P2_GpE,Phage_P2_GpE,4.00E-16,66.5,107,145,0,0,0
Clostridium lentocellum DSM 5427,0,0,NC_015275,YP_004307759.1,Phage_Gp15,Phage_Gp15,1.50E-21,85.3,3,169,0,0,0
Sphingobacterium sp. 21,0,0,NC_015277,YP_004315695.1,TH_Fam2,TH_Fam2,4.6,15.3,834,893,0,1,1
Sphingobacterium sp. 21,0,0,NC_015277,YP_004316194.1,U_TH_T4,U_TH_T4,3,15.8,1,36,1,0,1
Sphingobacterium sp. 21,0,0,NC_015277,YP_004316194.1,U_TH_T4,U_TH_T4,3,15.8,78,115,0,1,1
Synechococcus phage S-SM2,0,neg,NC_015279,YP_004322169.1,U_TH_T4,U_TH_T4,1.40E-20,80.9,1,54,1,0,1
Synechococcus phage S-SM2,0,neg,NC_015279,YP_004322169.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,1.40E-22,87.5,1,55,0,1,1
Prochlorococcus phage P-HM1,0,neg,NC_015280,YP_004322443.1,TH_Fam1,TH_Fam1,6.4,14.9,9,39,1,1,1
Prochlorococcus phage P-HM1,0,neg,NC_015280,YP_004322443.1,U_TH_T4,U_TH_T4,6.10E-21,82,1,47,1,0,1
Prochlorococcus phage P-HM1,0,neg,NC_015280,YP_004322443.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,3.00E-22,86.4,1,52,0,1,1
Synechococcus phage S-ShM2,0,neg,NC_015281,YP_004322678.1,TH_Fam1,TH_Fam1,0.26,19.3,9,44,1,1,1
Synechococcus phage S-ShM2,0,neg,NC_015281,YP_004322678.1,U_TH_T4,U_TH_T4,3.30E-22,86.1,1,53,1,0,1
Synechococcus phage S-ShM2,0,neg,NC_015281,YP_004322678.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,7.70E-23,88.3,1,58,0,1,1
Synechococcus phage S-SM1,0,neg,NC_015282,YP_004322910.1,U_TH_T4,U_TH_T4,5.80E-18,72.5,1,52,1,0,1
Synechococcus phage S-SM1,0,neg,NC_015282,YP_004322910.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,1.90E-22,87,1,57,0,1,1
Prochlorococcus phage P-RSM4,0,neg,NC_015283,YP_004323151.1,U_TH_T4,U_TH_T4,1.20E-17,71.5,1,52,1,0,1
Prochlorococcus phage P-RSM4,0,neg,NC_015283,YP_004323151.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,1.10E-22,87.7,1,57,0,1,1
Prochlorococcus phage P-HM2,0,neg,NC_015284,YP_004323390.1,U_TH_T4,U_TH_T4,0.000043,31.3,1,24,1,0,1
Prochlorococcus phage P-HM2,0,neg,NC_015284,YP_004323390.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,0.0000018,35.8,1,29,0,1,1
Synechococcus phage Syn19,0,neg,NC_015286,YP_004323851.1,U_TH_T4,U_TH_T4,1.60E-09,45.5,1,37,1,0,1
Synechococcus phage Syn19,0,neg,NC_015286,YP_004323851.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,9.20E-13,56,1,42,0,1,1
Synechococcus phage S-SSM7,0,neg,NC_015287,YP_004324064.1,U_TH_T4,U_TH_T4,3.40E-20,79.7,1,53,1,0,1
Synechococcus phage S-SSM7,0,neg,NC_015287,YP_004324064.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,3.30E-25,95.9,1,58,0,1,1
Synechococcus phage S-SSM5,0,neg,NC_015289,YP_004324619.1,U_TH_T4,U_TH_T4,5.40E-17,69.4,1,52,1,0,1
Synechococcus phage S-SSM5,0,neg,NC_015289,YP_004324619.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,1.00E-21,84.7,1,57,0,1,1
Prochlorococcus phage P-SSM7,0,neg,NC_015290,YP_004324841.1,U_TH_T4,U_TH_T4,0.00022,29,1,23,1,0,1
Prochlorococcus phage P-SSM7,0,neg,NC_015290,YP_004324841.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,0.00000015,39.3,1,28,0,0,0
Prevotella denticola F0289,0,0,NC_015311,YP_004329896.1,TH_Fam2,TH_Fam2,5.1,15.2,55,110,0,0,0
Pseudonocardia dioxanivorans CB1190,0,0,NC_015312,YP_004334601.1,DUF1799,DUF1799,7,14.9,327,379,0,0,0
Fluviicola taffensis DSM 16823,0,0,NC_015321,YP_004343848.1,TH_Fam2,TH_Fam2,0.18,19.8,17,62,0,1,1
Fluviicola taffensis DSM 16823,0,0,NC_015321,YP_004346555.1,TH-BCereus,TH-BCereus,5.8,15.4,44,66,1,0,1
Fluviicola taffensis DSM 16823,0,0,NC_015321,YP_004346555.1,TH-BCereus,TH-BCereus,5.8,15.4,170,192,0,0,0
Pseudomonas brassicacearum subsp. brassicacearum NFM421,0,0,NC_015379,YP_004355098.1,TIGR01715,TIGR01715,0.29,19.6,1,77,0,0,0
Pseudomonas brassicacearum subsp. brassicacearum NFM421,0,0,NC_015379,YP_004355179.1,DUF1799,DUF1799,4.70E-26,98.8,1,82,0,0,0
Candidatus Pelagibacter sp. IMCC9063,0,0,NC_015380,YP_004357811.1,TH_Fam2,TH_Fam2,8.6,14.5,29,112,0,1,1
Desulfobacca acetoxidans DSM 11109,0,0,NC_015388,YP_004370825.1,TH_Fam1,TH_Fam1,9.60E-13,55.9,194,233,1,0,1
Desulfobacca acetoxidans DSM 11109,0,0,NC_015388,YP_004370825.1,U_TH_T4,U_TH_T4,0.47,18.4,198,233,0,0,0
Desulfobacca acetoxidans DSM 11109,0,0,NC_015388,YP_004371329.1,TH-EcoilSE11,TH-EcoilSE11,6,15,2,47,0,0,0
Pseudomonas mendocina NK-01,0,0,NC_015410,YP_004379479.1,TH_Fam4,TH_Fam4,4.1,15.3,158,213,0,1,1
Alicycliphilus denitrificans K601,0,0,NC_015422,YP_004389832.1,TH_Fam1,TH_Fam1,2.80E-14,60.8,200,238,1,0,1
Alicycliphilus denitrificans K601,0,0,NC_015422,YP_004389832.1,U_TH_T4,U_TH_T4,6,14.8,201,238,0,0,0
Lactobacillus buchneri NRRL B-30929,0,0,NC_015428,YP_004398735.1,U_RealTestIII,U_RealTestIII,1.00E-32,122.2,9,479,0,0,0
Verrucosispora maris AB-18-032,0,0,NC_015434,YP_004405812.1,TH_Fam4,TH_Fam4,0.067,21,24,61,0,0,0
Shigella phage Shfl1,Shigella flexneri,neg,NC_015456,YP_004414860.1,DUF1799,DUF1799,6.20E-18,72.7,1,60,0,1,1
Shigella phage Shfl2,Shigella flexneri,neg,NC_015457,YP_004415082.1,TH_Fam1,TH_Fam1,2.7,16.1,209,247,1,1,1
Shigella phage Shfl2,Shigella flexneri,neg,NC_015457,YP_004415082.1,U_TH_T4,U_TH_T4,1.90E-12,54.9,200,249,1,0,1
Shigella phage Shfl2,Shigella flexneri,neg,NC_015457,YP_004415082.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,0.49,18.4,199,249,0,0,0
Gallibacterium anatis UMN179,Gallus gallus,0,NC_015460,YP_004419141.1,Phage_P2_GpE,Phage_P2_GpE,3.70E-11,50.6,1,33,0,0,0
Gallibacterium anatis UMN179,Gallus gallus,0,NC_015460,YP_004421309.1,DUF4035,DUF4035,6.20E-20,78.7,10,70,0,0,0
Gallibacterium anatis UMN179,Gallus gallus,0,NC_015460,YP_004421402.1,TH_Fam4,TH_Fam4,5.90E-18,72.4,1,40,0,1,1
Synechococcus phage S-CBS2,Synechococcus sp. CB0204,neg,NC_015463,YP_004421530.1,U_RealTestIII,U_RealTestIII,4.80E-25,96.9,39,253,1,0,1
Synechococcus phage S-CBS2,Synechococcus sp. CB0204,neg,NC_015463,YP_004421530.1,U_RealTestIII,U_RealTestIII,4.80E-25,96.9,260,480,0,0,0
Campylobacter phage NCTC12673,Campylobacter jejuni,neg,NC_015464,YP_004421578.1,U_TH_T4,U_TH_T4,0.00000032,38.1,95,143,0,0,0
Synechococcus phage S-CBS3,Synechococcus sp. CB0202,neg,NC_015465,YP_004421735.1,DUF1799,DUF1799,1.00E-13,59.3,1,76,0,1,1
Alteromonas macleodii str.  Deep ecotype,0,0,NC_011138,YP_004428057.1,U_RealTestIII,U_RealTestIII,8.30E-28,106,31,112,1,0,1
Alteromonas macleodii str.  Deep ecotype,0,0,NC_011138,YP_004428057.1,U_RealTestIII,U_RealTestIII,8.30E-28,106,433,753,0,0,0
Alteromonas macleodii str.  Deep ecotype,0,0,NC_011138,YP_004428422.1,TH_Fam2,TH_Fam2,4,15.6,25,118,0,0,0
Krokinobacter sp. 4H-3-7-5,0,0,NC_015496,YP_004430713.1,TH_Fam12,TH_Fam12,1.9,16.8,220,319,0,1,1
Haliscomenobacter hydrossis DSM 1100,0,0,NC_015510,YP_004450201.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,8.4,14.5,69,96,1,0,1
Haliscomenobacter hydrossis DSM 1100,0,0,NC_015510,YP_004450201.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,8.4,14.5,116,151,0,1,1
Cellulomonas fimi ATCC 484,0,0,NC_015514,YP_004451699.1,Phage_P2_GpE,Phage_P2_GpE,7.9,14.4,12,33,1,0,1
Cellulomonas fimi ATCC 484,0,0,NC_015514,YP_004451699.1,TH_Fam1,TH_Fam1,1.40E-13,58.6,6,44,0,0,0
Melissococcus plutonius ATCC 35311,0,0,NC_015516,YP_004456644.1,Phage_Gp15,Phage_Gp15,4.60E-35,129.3,3,177,0,0,0
Melissococcus plutonius ATCC 35311,0,0,NC_015516,YP_004456718.1,TH_Fam2,TH_Fam2,2.70E-23,89.8,1,75,0,0,0
Tepidanaerobacter acetatoxydans Re1,0,0,NC_015519,YP_004461823.1,TH-BGamma,TH-BGamma,0.0055,25.1,7,49,0,0,0
Alteromonas sp. SN2,0,0,NC_015554,YP_004468772.1,U_TH_T4,U_TH_T4,7.8,14.4,61,100,0,0,0
Streptococcus parauberis KCTC 11537,0,0,NC_015558,YP_004479714.1,Phage_Gp15,Phage_Gp15,3.90E-39,142.6,1,159,0,0,0
Delftia sp. Cs1-4,0,0,NC_015563,YP_004489725.1,Phage_P2_GpE,Phage_P2_GpE,3.90E-14,60.2,1,39,0,0,0
Delftia sp. Cs1-4,0,0,NC_015563,YP_004490508.1,DUF1799,DUF1799,1.70E-23,90.6,10,93,0,0,0
Serratia sp. AS12,rapeseed plant,0,NC_015566,YP_004499246.1,Phage_P2_GpE,Phage_P2_GpE,2.20E-21,83.3,5,44,0,0,0
Serratia sp. AS12,rapeseed plant,0,NC_015566,YP_004500276.1,TH_Fam4,TH_Fam4,1.3,16.9,17,72,0,1,1
Serratia sp. AS12,rapeseed plant,0,NC_015566,YP_004501828.1,Phage_tail_T,Phage_tail_T,2.50E-35,129.3,2,99,1,0,1
Serratia sp. AS12,rapeseed plant,0,NC_015566,YP_004501828.1,TIGR01715,TIGR01715,2.00E-34,126.3,1,99,0,0,0
Serratia plymuthica AS9,0,0,NC_015567,YP_004504198.1,Phage_P2_GpE,Phage_P2_GpE,2.20E-21,83.3,5,44,0,0,0
Serratia plymuthica AS9,0,0,NC_015567,YP_004505228.1,TH_Fam4,TH_Fam4,1.3,16.9,17,72,0,1,1
Serratia plymuthica AS9,0,0,NC_015567,YP_004506780.1,Phage_tail_T,Phage_tail_T,2.50E-35,129.3,2,99,1,0,1
Serratia plymuthica AS9,0,0,NC_015567,YP_004506780.1,TIGR01715,TIGR01715,2.00E-34,126.3,1,99,0,0,0
Clostridium phage phiCD38-2,Clostridium difficile,pos,NC_015568,YP_004508392.1,Phage_Gp15,Phage_Gp15,4.40E-22,87,3,174,0,1,1
Synechococcus phage S-CRM01,Synechococcus sp. LC16,neg,NC_015569,YP_004508495.1,U_TH_T4,U_TH_T4,6.80E-17,69.1,1,58,1,0,1
Synechococcus phage S-CRM01,Synechococcus sp. LC16,neg,NC_015569,YP_004508495.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,2.60E-22,86.6,1,60,0,1,1
Desulfotomaculum kuznetsovii DSM 6115,0,0,NC_015573,YP_004518477.1,U_TH_T4,U_TH_T4,0.52,18.2,68,96,1,0,1
Desulfotomaculum kuznetsovii DSM 6115,0,0,NC_015573,YP_004518477.1,U_TH_T4,U_TH_T4,0.52,18.2,332,356,0,0,0
Erysipelothrix rhusiopathiae str. Fujisawa,0,0,NC_015601,YP_004560705.1,U_RealTestIII,U_RealTestIII,6.80E-28,106.3,1,443,0,0,0
Erysipelothrix rhusiopathiae str. Fujisawa,0,0,NC_015601,YP_004560789.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,2.8,16,44,77,0,1,1
Lactobacillus kefiranofaciens ZW3,0,0,NC_015602,YP_004563258.1,TH_Fam6,TH_Fam6,8.2,15.1,202,277,1,0,1
Lactobacillus kefiranofaciens ZW3,0,0,NC_015602,YP_004563258.1,TH_Fam6,TH_Fam6,8.2,15.1,387,466,0,0,0
Microlunatus phosphovorus NM-1,0,0,NC_015635,YP_004570783.1,TH_Fam1,TH_Fam1,1.90E-14,61.3,23,61,0,0,0
Lacinutrix sp. 5H-3-7-4,0,0,NC_015638,YP_004581026.1,TH-BCereus,TH-BCereus,5.4,15.5,84,111,0,0,0
Enterobacter aerogenes KCTC 2190,0,0,NC_015663,YP_004592935.1,DUF4035,DUF4035,4.2,15.2,303,343,0,0,0
Enterobacter aerogenes KCTC 2190,0,0,NC_015663,YP_004593446.1,TH_Fam4,TH_Fam4,1.6,16.6,18,74,0,0,0
Enterobacter aerogenes KCTC 2190,0,0,NC_015663,YP_004594391.1,TH-EcoilSE11,TH-EcoilSE11,1.90E-23,90.3,1,55,0,0,0
Helicobacter bizzozeronii CIII-1,0,0,NC_015674,YP_004606753.1,U_RealTestIII,U_RealTestIII,6.80E-18,73.3,4,415,0,0,0
Helicobacter bizzozeronii CIII-1,0,0,NC_015674,YP_004607805.1,U_RealTestIII,U_RealTestIII,0.082,20.3,32,201,0,0,0
Helicobacter bizzozeronii CIII-1,0,0,NC_015674,YP_004608285.1,U_RealTestIII,U_RealTestIII,5.60E-10,47.2,1,373,0,0,0
Ramlibacter tataouinensis TTB310,0,0,NC_015677,YP_004618619.1,Phage_P2_GpE,Phage_P2_GpE,7.6,14.4,1,14,0,1,1
Clostridium acetobutylicum DSM 1731,0,0,NC_015687,YP_004636488.1,TH_Fam6,TH_Fam6,2.8,16.6,32,72,1,1,1
Clostridium acetobutylicum DSM 1731,0,0,NC_015687,YP_004636488.1,TH_Fam6,TH_Fam6,2.8,16.6,283,350,1,0,1
Clostridium acetobutylicum DSM 1731,0,0,NC_015687,YP_004636488.1,TH_Fam6,TH_Fam6,2.8,16.6,645,720,0,1,1
Clostridium acetobutylicum DSM 1731,0,0,NC_015687,YP_004636926.1,U_TH_T4,U_TH_T4,5.1,15.1,275,295,1,1,1
Clostridium acetobutylicum DSM 1731,0,0,NC_015687,YP_004636926.1,U_TH_T4,U_TH_T4,5.1,15.1,990,1024,1,0,1
Clostridium acetobutylicum DSM 1731,0,0,NC_015687,YP_004636926.1,U_TH_T4,U_TH_T4,5.1,15.1,1059,1094,0,1,1
Paenibacillus mucilaginosus KNP414,0,0,NC_015690,YP_004641071.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,9.9,14.2,1,32,1,0,1
Paenibacillus mucilaginosus KNP414,0,0,NC_015690,YP_004641071.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,9.9,14.2,83,122,0,0,0
Francisella sp. TX077308,0,0,NC_015696,YP_004646671.1,TH_Fam4,TH_Fam4,8.5,14.3,107,161,0,0,0
Lactobacillus reuteri SD2112,0,0,NC_015697,YP_004649670.1,TH_Fam6,TH_Fam6,8.7,15,38,127,0,1,1
Runella slithyformis DSM 19594,0,0,NC_015703,YP_004654125.1,TH_Fam10,TH_Fam10,1,17.5,68,106,1,0,1
Runella slithyformis DSM 19594,0,0,NC_015703,YP_004654125.1,TH_Fam10,TH_Fam10,1,17.5,125,160,0,0,0
Myxococcus fulvus HW-1,0,0,NC_015711,YP_004664917.1,Phage_P2_GpE,Phage_P2_GpE,8.5,14.3,59,96,0,0,0
Hyphomicrobium sp. MC1,0,0,NC_015717,YP_004677118.1,U_RealTestIII,U_RealTestIII,2.30E-15,65,17,316,0,0,0
Hyphomicrobium sp. MC1,0,0,NC_015717,YP_004677201.1,U_RealTestIII,U_RealTestIII,2.60E-08,41.7,8,342,0,0,0
Hyphomicrobium sp. MC1,0,0,NC_015717,YP_004677288.1,U_RealTestIII,U_RealTestIII,3.90E-17,70.8,9,388,0,0,0
Hyphomicrobium sp. MC1,0,0,NC_015717,YP_004677332.1,U_RealTestIII,U_RealTestIII,2.10E-16,68.4,13,247,0,0,0
Candidatus Midichloria mitochondrii IricVA,Ixodes ricinus,0,NC_015722,YP_004679947.1,U_RealTestIII,U_RealTestIII,0.46,17.8,2,93,0,1,1
Roseobacter litoralis Och 149,0,0,NC_015730,YP_004689166.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,4.8,15.2,73,87,1,0,1
Roseobacter litoralis Och 149,0,0,NC_015730,YP_004689166.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,4.8,15.2,132,158,0,0,0
Roseobacter litoralis Och 149,0,0,NC_015730,YP_004691744.1,U_RealTestIII,U_RealTestIII,1.50E-27,105.1,41,386,0,0,0
Nitrosomonas sp. Is79A3,0,0,NC_015731,YP_004695569.1,DUF1799,DUF1799,6.20E-16,66.3,31,113,0,0,0
Pseudomonas putida S16,0,0,NC_015733,YP_004701925.1,TH-EcoilSE11,TH-EcoilSE11,0.0000024,35.5,1,53,0,1,1
Leuconostoc sp. C2,0,0,NC_015734,YP_004706046.1,TH_Fam2,TH_Fam2,8.20E-08,40.2,1,75,1,0,1
Leuconostoc sp. C2,0,0,NC_015734,YP_004706046.1,TH_Fam2,TH_Fam2,8.20E-08,40.2,69,104,0,0,0
Eggerthella sp. YY7918,0,0,NC_015738,YP_004709777.1,Phage_Gp15,Phage_Gp15,1.1,17.3,12,118,0,0,0
